weather,city,scenario,time_slice,severity,weather_year,analysis_state_sha256,zone,zone_label,floor,area_m2,high_tail_pct,mean_p_tail,mean_warm_tail,mean_cold_tail,mean_expected_tsv
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_bot_zn_4,Bottom P4,bottom,131.25,11.26676245210728,0.10527914042425252,0.07663076616736919,0.028648374256883324,0.24322676675205912
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_mid_zn_3,Middle P3,middle,207.34,26.10751915708812,0.14181916118212037,0.1162417051440905,0.025577456038029862,0.3700420734899727
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_mid_zn_2,Middle P2,middle,131.26,18.827825670498086,0.12179534752354547,0.09487948993369678,0.026915857589848685,0.3076592307319571
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_mid_zn_1,Middle P1,middle,207.34,49.5749521072797,0.22475444295844357,0.20457414050853698,0.020180302449906606,0.6558085446570334
ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_mid_zn_4,Middle P4,middle,131.25,15.613026819923373,0.11438342052100069,0.08720411510867784,0.027179305412322843,0.2805475699951872
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,core_bottom,Core bottom,bottom,983.54,8.866139846743296,0.10367518815525459,0.07446389171380507,0.029211296441449524,0.23369088904177734
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,core_mid,Core middle,middle,983.54,20.55795019157088,0.1231384628231127,0.09606644056305437,0.027072022260058316,0.30153470959870293
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,core_top,Core top,top,983.54,16.169779693486593,0.1121035857653331,0.08359064957572118,0.02851293618961191,0.2540963047116419
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_top_zn_3,Top P3,top,207.34,21.857040229885058,0.13177951434615187,0.10505255427657782,0.026726960069574063,0.33021472512914146
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_top_zn_2,Top P2,top,131.26,18.259099616858236,0.12117388665357927,0.09407467237850776,0.0270992142750715,0.30560809858583077
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_top_zn_1,Top P1,top,207.34,42.1036877394636,0.20007403519088662,0.17787518638920555,0.022198848801681065,0.5712792301110495
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_top_zn_4,Top P4,top,131.25,13.864942528735632,0.11033525032123886,0.08263419510816068,0.027701055213078182,0.2648334665712518
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_bot_zn_3,Bottom P3,bottom,207.34,17.037835249042146,0.11911171381314949,0.09165117100282158,0.027460542810327906,0.28399169508943173
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_bot_zn_2,Bottom P2,bottom,131.26,14.906609195402298,0.11487519422735204,0.08687912837044208,0.027996065856909967,0.2820710867107563
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_bot_zn_1,Bottom P1,bottom,207.34,57.189894636015325,0.24557611132356746,0.2272275844129459,0.01834852691062158,0.7372748972018719
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_bot_zn_4,Bottom P4,bottom,131.25,11.26676245210728,0.10527914042425252,0.07663076616736919,0.028648374256883324,0.24322676675205912
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_mid_zn_3,Middle P3,middle,207.34,26.10751915708812,0.14181916118212037,0.1162417051440905,0.025577456038029862,0.3700420734899727
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_mid_zn_2,Middle P2,middle,131.26,18.827825670498086,0.12179534752354547,0.09487948993369678,0.026915857589848685,0.3076592307319571
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_mid_zn_1,Middle P1,middle,207.34,49.5749521072797,0.22475444295844357,0.20457414050853698,0.020180302449906606,0.6558085446570334
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,938bd161cc876d9d0cb1f0b68ebf0355715c8cde89fca9074f2743aecf88c3da,perimeter_mid_zn_4,Middle P4,middle,131.25,15.613026819923373,0.11438342052100069,0.08720411510867784,0.027179305412322843,0.2805475699951872
