weather,city,scenario_raw,time_slice,severity,weather_year,scenario,watts_person,met,bsa_m2,zone,zone_label,floor,position,position_name,rows,mean_p_tail,median_p_tail,p90_p_tail,p95_p_tail,high_tail_pct,mean_warm_tail,mean_cold_tail
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Med,100.0,1.0,1.7182130584192439,perimeter_mid_zn_1,Middle P1,middle,P1,P1 south,16704,0.18427984298291547,0.15295543912029586,0.305943113395309,0.36701315597328976,31.45354406130268,0.1454458282569202,0.03883401472599525
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Med,100.0,1.0,1.7182130584192439,perimeter_mid_zn_2,Middle P2,middle,P2,P2 east,16704,0.12748490097987056,0.11479869487721546,0.18724130715485082,0.20306979843916262,5.471743295019157,0.07253037873515113,0.0549545222447194
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Med,100.0,1.0,1.7182130584192439,perimeter_mid_zn_3,Middle P3,middle,P3,P3 north,16704,0.1372355480326622,0.11479869487721547,0.20306979843916262,0.26197864997298204,11.05124521072797,0.08636638177450885,0.050869166258153284
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Med,100.0,1.0,1.7182130584192439,perimeter_mid_zn_4,Middle P4,middle,P4,P4 west,16704,0.1245428225829164,0.11002653685580516,0.17916844213918728,0.20306979843916256,5.166427203065134,0.06854759851811672,0.0559952240647997
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Med,100.0,1.0,1.7182130584192439,core_top,Core top,top,core,Core,16704,0.12373673398729201,0.11085288593168005,0.17916844213918728,0.19469355411645756,4.6875,0.06444177662260164,0.05929495736469038
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Med,100.0,1.0,1.7182130584192439,perimeter_top_zn_1,Top P1,top,P1,P1 south,16704,0.16982642403926435,0.14159212417246883,0.2953864903042743,0.3141811447217568,25.56273946360153,0.12644608049045164,0.043380343548812685
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Med,100.0,1.0,1.7182130584192439,perimeter_top_zn_2,Top P2,top,P2,P2 east,16704,0.12760424544965193,0.11479869487721547,0.17945599292348516,0.20306979843916262,5.495689655172414,0.07197464429816709,0.055629601151484825
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Med,100.0,1.0,1.7182130584192439,perimeter_top_zn_3,Top P3,top,P3,P3 north,16704,0.13243534732373394,0.11479869487721546,0.19187312875691737,0.261978649972982,8.704501915708812,0.0783628593330599,0.05407248799067406
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,COMP-Med,100.0,1.0,1.7182130584192439,perimeter_top_zn_4,Top P4,top,P4,P4 west,16704,0.1234955154237867,0.11051354364793078,0.1678771681879846,0.19728398749301354,4.855124521072797,0.0661804939539566,0.05731502146983009
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,EQ-Max,108.0,1.08,1.7182130584192439,core_bottom,Core bottom,bottom,core,Core,16704,0.1445797911752703,0.11119735283304061,0.30594311339530905,0.36701315597328976,16.582854406130267,0.1173621991332994,0.027217592041970915
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,EQ-Max,108.0,1.08,1.7182130584192439,perimeter_bot_zn_1,Bottom P1,bottom,P1,P1 south,16704,0.30429739860252647,0.3094774044333567,0.5274207974391564,0.62413279970646,60.793821839080465,0.288298176897432,0.015999221705094456
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,EQ-Max,108.0,1.08,1.7182130584192439,perimeter_bot_zn_2,Bottom P2,bottom,P2,P2 east,16704,0.15689624430771912,0.1145288120457421,0.32609285908226987,0.37435782612481494,20.623802681992338,0.13157443464252708,0.02532180966519203
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,EQ-Max,108.0,1.08,1.7182130584192439,perimeter_bot_zn_3,Bottom P3,bottom,P3,P3 north,16704,0.16276378192998728,0.09195988721020815,0.36701315597328976,0.37435782612481494,25.58668582375479,0.13673198148552607,0.026031800444461205
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,EQ-Max,108.0,1.08,1.7182130584192439,perimeter_bot_zn_4,Bottom P4,bottom,P4,P4 west,16704,0.14176697439812144,0.09195988721020815,0.3094774044333567,0.37082353508676724,15.134099616858238,0.11585214452253002,0.02591482987559139
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,EQ-Max,108.0,1.08,1.7182130584192439,core_mid,Core middle,middle,core,Core,16704,0.1683281864598775,0.11148676842660192,0.37082353508676724,0.38576185191057555,25.55675287356322,0.1432756557392079,0.02505253072066959
