scenario,watts_person,met,zone,zone_label,floor,position,position_name,cases,rows,mean_p_tail,p95_case_mean_p_tail,mean_high_tail_pct,median_case_high_tail_pct,p95_case_high_tail_pct,mean_warm_tail,mean_cold_tail
COMP-Hi,110.0,1.1,perimeter_mid_zn_1,Middle P1,middle,P1,P1 south,144,2405376,0.1632492663300582,0.2265692511522173,28.912070295870585,26.76903735632184,51.053639846743295,0.13886147247864986,0.02438779385140835
COMP-Hi,110.0,1.1,perimeter_mid_zn_2,Middle P2,middle,P2,P2 east,144,2405376,0.11074381642661114,0.15727825611340293,12.99813417943806,11.314655172413794,28.53538074712643,0.08092511966385531,0.029818696762755836
COMP-Hi,110.0,1.1,perimeter_mid_zn_3,Middle P3,middle,P3,P3 north,144,2405376,0.12355850735151289,0.17296846198536672,17.35001097541507,15.627993295019158,32.58500957854406,0.09435221723909198,0.02920629011242088
COMP-Hi,110.0,1.1,perimeter_mid_zn_4,Middle P4,middle,P4,P4 west,144,2405376,0.10740529406895538,0.15037454783993243,11.452596184546614,10.02155172413793,25.875239463601513,0.07723705417220214,0.03016823989675323
COMP-Hi,110.0,1.1,core_top,Core top,top,core,Core,144,2405376,0.10492494668156566,0.14687348702645528,11.721161265432098,9.626436781609195,27.81549329501915,0.07419280796329858,0.030732138718267077
COMP-Hi,110.0,1.1,perimeter_top_zn_1,Top P1,top,P1,P1 south,144,2405376,0.14945165651584105,0.21134174721887822,24.399096024904214,22.7610153256705,45.99227729885056,0.1229500770177219,0.026501579498119158
COMP-Hi,110.0,1.1,perimeter_top_zn_2,Top P2,top,P2,P2 east,144,2405376,0.11154268161339877,0.16021375744795474,13.15549003565347,11.826508620689655,28.32255747126437,0.0806814010577316,0.03086128055566717
COMP-Hi,110.0,1.1,perimeter_top_zn_3,Top P3,top,P3,P3 north,144,2405376,0.11823229480122024,0.1733382287562656,15.34857751968923,13.481800766283525,30.908764367816094,0.08676164617614375,0.031470648625076494
COMP-Hi,110.0,1.1,perimeter_top_zn_4,Top P4,top,P4,P4 west,144,2405376,0.10599503860485902,0.13907856597957258,10.81614683109834,9.907806513409962,23.37523946360153,0.07436723863474182,0.03162779997011719
LEGACY,120.0,1.2,core_bottom,Core bottom,bottom,core,Core,144,2405376,0.12925653925359043,0.16269678401127072,11.23138336792252,9.297174329501916,25.32656848659004,0.09493817668941633,0.034318362564174115
LEGACY,120.0,1.2,perimeter_bot_zn_1,Bottom P1,bottom,P1,P1 south,144,2405376,0.19284230714168596,0.2620176264804935,37.21210322211579,35.83872126436782,65.41157806513408,0.16071000894706244,0.03213229819462353
LEGACY,120.0,1.2,perimeter_bot_zn_2,Bottom P2,bottom,P2,P2 east,144,2405376,0.13377567023228415,0.18140336296821638,13.312638024159217,11.763649425287356,29.01700191570881,0.09397641217110529,0.03979925806117886
LEGACY,120.0,1.2,perimeter_bot_zn_3,Bottom P3,bottom,P3,P3 north,144,2405376,0.14112803342343988,0.18956829780681497,16.563231694338015,14.275023946360154,30.57650862068965,0.09785410028463716,0.04327393313880274
LEGACY,120.0,1.2,perimeter_bot_zn_4,Bottom P4,bottom,P4,P4 west,144,2405376,0.12893491076575553,0.16750363878199176,10.985267999680715,9.638409961685824,26.047653256704983,0.08918521669143709,0.03974969407431845
LEGACY,120.0,1.2,core_mid,Core middle,middle,core,Core,144,2405376,0.13771161981325736,0.17799285570474818,16.275002328118347,14.032567049808428,31.968390804597703,0.10168311125270563,0.03602850856055174
LEGACY,120.0,1.2,perimeter_mid_zn_1,Middle P1,middle,P1,P1 south,144,2405376,0.18872817353936838,0.246574612186097,35.93159655704555,33.854166666666664,56.78849377394636,0.1577320414103786,0.030996132128989787
LEGACY,120.0,1.2,perimeter_mid_zn_2,Middle P2,middle,P2,P2 east,144,2405376,0.13689005900490023,0.17778632304453965,14.78346836419753,13.380028735632184,30.0571719348659,0.09926236579155971,0.03762769321334053
LEGACY,120.0,1.2,perimeter_mid_zn_3,Middle P3,middle,P3,P3 north,144,2405376,0.14841076661215594,0.1931065470418278,20.30643026287782,18.103448275862068,34.74766522988505,0.11021132586359117,0.03819944074856477
LEGACY,120.0,1.2,perimeter_mid_zn_4,Middle P4,middle,P4,P4 west,144,2405376,0.13486610716663672,0.17396611875357035,13.724132942209451,12.580818965517242,27.381465517241374,0.09670583358060353,0.038160273586033217
LEGACY,120.0,1.2,core_top,Core top,top,core,Core,144,2405376,0.13235692291388354,0.1758471801315714,13.940190639633887,11.757662835249043,29.57465277777777,0.09326418648428544,0.03909273642959807
LEGACY,120.0,1.2,perimeter_top_zn_1,Top P1,top,P1,P1 south,144,2405376,0.17674141380417474,0.23338330575794572,30.834098286504894,29.855124521072796,50.13380028735632,0.14276883359255235,0.03397258021162239
LEGACY,120.0,1.2,perimeter_top_zn_2,Top P2,top,P2,P2 east,144,2405376,0.13858643415059843,0.177033688488431,15.129651247871436,13.622485632183906,29.79525862068966,0.09876350859333333,0.03982292555726512
LEGACY,120.0,1.2,perimeter_top_zn_3,Top P3,top,P3,P3 north,144,2405376,0.1447582750093158,0.18965808880123985,18.051356627820347,16.109913793103452,32.405411877394634,0.10318194512688154,0.04157632988243424
LEGACY,120.0,1.2,perimeter_top_zn_4,Top P4,top,P4,P4 west,144,2405376,0.13494243077286777,0.16319001465519628,13.34352716581524,12.62272509578544,24.73060344827586,0.09404260126057121,0.040899829512296565
