case_id,city,scenario,time_slice,severity,weather_year,outdoor_temp_bin,occupied_steps,mean_outdoor_temp_c,mean_zone_operative_temp_c,mean_zone_rh_pct,mean_zone_cooling_rate_w,mean_p_tail,high_tail_pct
ahmedabad_ssp245_near_2030s_heatwave_extreme_2034,Ahmedabad,ssp245,near_2030s,heatwave_extreme,2034,>=35,3010,37.848882059800665,26.763129906513456,53.21448490807691,115515.97600712285,0.17635281379645068,35.91362126245847
ahmedabad_ssp245_near_2030s_hot_2034,Ahmedabad,ssp245,near_2030s,hot,2034,<20,1217,16.94594289235826,24.76122989988518,41.5967190076655,78546.63420641868,0.0722121937030029,0.0
ahmedabad_ssp245_near_2030s_hot_2034,Ahmedabad,ssp245,near_2030s,hot,2034,20--25,1981,22.87336698637052,25.229694680084815,47.41158010931269,98571.09696691473,0.07898529552336361,0.05047955577990913
ahmedabad_ssp245_near_2030s_hot_2034,Ahmedabad,ssp245,near_2030s,hot,2034,25--30,5221,27.792348209155328,25.726758765242245,51.04908263146292,107194.60401019396,0.10414861178588451,6.416395326565792
ahmedabad_ssp245_near_2030s_hot_2034,Ahmedabad,ssp245,near_2030s,hot,2034,30--35,5275,32.23568483412322,26.100006109547472,51.562373297244456,113534.30845632587,0.12285148774794528,12.909952606635072
ahmedabad_ssp245_near_2030s_hot_2034,Ahmedabad,ssp245,near_2030s,hot,2034,>=35,3010,37.848882059800665,26.763129906513456,53.21448490807691,115515.97600712285,0.17635281379645068,35.91362126245847
ahmedabad_ssp245_near_2030s_typical_2032,Ahmedabad,ssp245,near_2030s,typical,2032,<20,1820,15.945406593406593,24.753374044264287,38.05594644781266,77881.37064001914,0.07922721265814345,0.0
ahmedabad_ssp245_near_2030s_typical_2032,Ahmedabad,ssp245,near_2030s,typical,2032,20--25,2126,22.90411453433678,25.191905290759877,44.19427665113358,95695.49906543082,0.0862438564643123,0.09407337723424271
ahmedabad_ssp245_near_2030s_typical_2032,Ahmedabad,ssp245,near_2030s,typical,2032,25--30,5095,27.772091265947005,25.795353175975258,50.59565415483526,108866.99680283427,0.1085359909634161,7.576054955839058
ahmedabad_ssp245_near_2030s_typical_2032,Ahmedabad,ssp245,near_2030s,typical,2032,30--35,5109,32.25338324525348,26.131846473924696,52.6076639203685,111004.94689884235,0.11900886652199792,11.528674887453514
ahmedabad_ssp245_near_2030s_typical_2032,Ahmedabad,ssp245,near_2030s,typical,2032,>=35,2554,37.44688821456539,26.275427973013606,52.058982986203816,116299.46439079127,0.12739915942086583,14.643696162881753
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,Ahmedabad,ssp585,baseline_2020s,heatwave_extreme,2027,<20,1603,15.89731441048035,24.754242419394693,38.17245120053364,78013.24542773353,0.08139342963743944,0.0
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,Ahmedabad,ssp585,baseline_2020s,heatwave_extreme,2027,20--25,1902,22.703782860147214,25.216218349102213,42.17577088550947,96204.68290676898,0.09291066730432826,0.31545741324921134
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,Ahmedabad,ssp585,baseline_2020s,heatwave_extreme,2027,25--30,4467,27.84216588314305,26.218090012182614,50.71961507606175,109653.35004257505,0.1379751645297334,19.811954331766284
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,Ahmedabad,ssp585,baseline_2020s,heatwave_extreme,2027,30--35,5639,32.43751463025359,27.018089377484642,53.419531108919244,114994.07193325044,0.18426670791399766,39.93615889342082
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,Ahmedabad,ssp585,baseline_2020s,heatwave_extreme,2027,>=35,3093,37.62329291949563,26.665295879229646,53.10225140077758,116273.62620355393,0.15749786578397626,25.476883284836727
ahmedabad_ssp585_baseline_2020s_hot_2027,Ahmedabad,ssp585,baseline_2020s,hot,2027,<20,1603,15.89731441048035,24.754242419394693,38.17245120053364,78013.24542773353,0.08139342963743944,0.0
ahmedabad_ssp585_baseline_2020s_hot_2027,Ahmedabad,ssp585,baseline_2020s,hot,2027,20--25,1902,22.703782860147214,25.216218349102213,42.17577088550947,96204.68290676898,0.09291066730432826,0.31545741324921134
ahmedabad_ssp585_baseline_2020s_hot_2027,Ahmedabad,ssp585,baseline_2020s,hot,2027,25--30,4467,27.84216588314305,26.218090012182614,50.71961507606175,109653.35004257505,0.1379751645297334,19.811954331766284
ahmedabad_ssp585_baseline_2020s_hot_2027,Ahmedabad,ssp585,baseline_2020s,hot,2027,30--35,5639,32.43751463025359,27.018089377484642,53.419531108919244,114994.07193325044,0.18426670791399766,39.93615889342082
ahmedabad_ssp585_baseline_2020s_hot_2027,Ahmedabad,ssp585,baseline_2020s,hot,2027,>=35,3093,37.62329291949563,26.665295879229646,53.10225140077758,116273.62620355393,0.15749786578397626,25.476883284836727
ahmedabad_ssp585_baseline_2020s_typical_2025,Ahmedabad,ssp585,baseline_2020s,typical,2025,<20,1514,16.82043262879789,24.783237400509744,40.86341237039315,78964.06589246858,0.07339430650553036,0.0
ahmedabad_ssp585_baseline_2020s_typical_2025,Ahmedabad,ssp585,baseline_2020s,typical,2025,20--25,2284,22.93633318739054,25.25047539274603,46.74274170709705,99895.38652192213,0.08365854324484259,0.2626970227670753
ahmedabad_ssp585_baseline_2020s_typical_2025,Ahmedabad,ssp585,baseline_2020s,typical,2025,25--30,4898,27.664637096774197,25.727264631488183,50.24609988806657,108296.86539805602,0.10696736990812113,7.778685177623519
ahmedabad_ssp585_baseline_2020s_typical_2025,Ahmedabad,ssp585,baseline_2020s,typical,2025,30--35,5796,32.41034290890269,26.443446340721298,51.629490740799106,113665.07296537275,0.1471585128743603,23.567977915804004
ahmedabad_ssp585_baseline_2020s_typical_2025,Ahmedabad,ssp585,baseline_2020s,typical,2025,>=35,2212,37.62900316455697,26.565364309419465,52.101915805882086,116862.4820774637,0.15009716858777467,23.553345388788426
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,Ahmedabad,ssp585,late_2080s,heatwave_extreme,2088,<20,567,18.357191358024693,24.855138344048598,44.69445173350932,78515.07853747146,0.06571344999801247,0.0
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,Ahmedabad,ssp585,late_2080s,heatwave_extreme,2088,20--25,1814,22.789983461962514,25.28534594143618,48.90701409648083,105265.65787386874,0.07500942630285329,0.05512679162072767
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,Ahmedabad,ssp585,late_2080s,heatwave_extreme,2088,25--30,3454,27.734921829762598,25.70871615338957,50.61807707453903,105862.44289780561,0.1021273275548612,6.7458019687319055
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,Ahmedabad,ssp585,late_2080s,heatwave_extreme,2088,30--35,6403,32.45571568014993,26.616524601785894,52.154047107779576,114760.37243996157,0.17366325545348799,31.68827112291114
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,Ahmedabad,ssp585,late_2080s,heatwave_extreme,2088,>=35,4466,38.54413905060457,27.777029579791808,55.75912904728691,111331.69018717273,0.25467000919508404,60.30004478280341
ahmedabad_ssp585_late_2080s_hot_2088,Ahmedabad,ssp585,late_2080s,hot,2088,<20,567,18.357191358024693,24.855138344048598,44.69445173350932,78515.07853747146,0.06571344999801247,0.0
ahmedabad_ssp585_late_2080s_hot_2088,Ahmedabad,ssp585,late_2080s,hot,2088,20--25,1814,22.789983461962514,25.28534594143618,48.90701409648083,105265.65787386874,0.07500942630285329,0.05512679162072767
ahmedabad_ssp585_late_2080s_hot_2088,Ahmedabad,ssp585,late_2080s,hot,2088,25--30,3454,27.734921829762598,25.70871615338957,50.61807707453903,105862.44289780561,0.1021273275548612,6.7458019687319055
ahmedabad_ssp585_late_2080s_hot_2088,Ahmedabad,ssp585,late_2080s,hot,2088,30--35,6403,32.45571568014993,26.616524601785894,52.154047107779576,114760.37243996157,0.17366325545348799,31.68827112291114
ahmedabad_ssp585_late_2080s_hot_2088,Ahmedabad,ssp585,late_2080s,hot,2088,>=35,4466,38.54413905060457,27.777029579791808,55.75912904728691,111331.69018717273,0.25467000919508404,60.30004478280341
ahmedabad_ssp585_late_2080s_typical_2087,Ahmedabad,ssp585,late_2080s,typical,2087,<20,938,17.092849147121537,24.836821581080514,41.71806959741617,80824.1552411356,0.07260485268423007,0.0
ahmedabad_ssp585_late_2080s_typical_2087,Ahmedabad,ssp585,late_2080s,typical,2087,20--25,1752,22.97342180365297,25.28373236772707,47.48728710625323,100464.99740185642,0.0802372302252518,0.5136986301369862
ahmedabad_ssp585_late_2080s_typical_2087,Ahmedabad,ssp585,late_2080s,typical,2087,25--30,4863,27.71859397491261,25.681169206015312,50.617614668650866,107200.17986572889,0.10174768078182408,5.634382068681884
ahmedabad_ssp585_late_2080s_typical_2087,Ahmedabad,ssp585,late_2080s,typical,2087,30--35,5278,32.26250047366427,26.25187116803816,51.777258143187375,114602.68125324362,0.13934943079577577,19.192876089427813
ahmedabad_ssp585_late_2080s_typical_2087,Ahmedabad,ssp585,late_2080s,typical,2087,>=35,3873,37.79699909630777,27.168654764206902,53.61582642648736,116711.60080356312,0.20855847066697958,43.9710818486961
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,Ahmedabad,ssp585,mid_2050s,heatwave_extreme,2051,<20,1447,16.479488597097443,24.817024560130363,39.92748095880118,79477.70454272347,0.0778735618419607,0.0
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,Ahmedabad,ssp585,mid_2050s,heatwave_extreme,2051,20--25,2012,22.84933399602386,25.28854438313678,45.96326864386412,100990.90642107624,0.08529192633723816,0.3976143141153081
