weather,city,scenario_raw,time_slice,severity,weather_year,rows,mean_agg_p_tail_spread_mean,mean_agg_p_tail_spread_p95,max_zone_p_tail_spread_mean,max_zone_p_tail_spread_p95,mean_agg_threshold_flip_rows,mean_agg_threshold_flip_pct,max_zone_threshold_flip_rows,max_zone_threshold_flip_pct,sreal_mean_hidden_rows,sreal_mean_hidden_pct,sreal_zone_hidden_rows,sreal_zone_hidden_pct,direction_flip_rows,direction_flip_pct,sreal_mean_high_tail_pct,sreal_any_zone_high_tail_pct
guangzhou_ssp585_baseline_2020s_hot_2028,Guangzhou,ssp585,baseline_2020s,hot,2028,16704,0.05875635892152786,0.17978284135460845,0.10747268050909042,0.2524718642234802,2230,13.350095785440613,5157,30.872844827586203,2229,13.344109195402298,5044,30.196360153256705,3172,18.989463601532567,0.19755747126436785,4.519875478927203
guangzhou_ssp585_baseline_2020s_typical_2025,Guangzhou,ssp585,baseline_2020s,typical,2025,16704,0.055991094559431076,0.155049593001604,0.10779868066310883,0.2690771877765651,1936,11.590038314176246,4762,28.508141762452105,1935,11.58405172413793,4614,27.622126436781606,3551,21.25838122605364,0.005986590038314176,4.340277777777778
guangzhou_ssp585_late_2080s_heatwave_extreme_2086,Guangzhou,ssp585,late_2080s,heatwave_extreme,2086,16704,0.10902899503707886,0.23938318267464637,0.16329343616962433,0.32720547914505005,4341,25.98778735632184,4849,29.02897509578544,4290,25.682471264367816,4595,27.50838122605364,2050,12.27250957854406,18.773946360153257,34.83596743295019
guangzhou_ssp585_late_2080s_hot_2086,Guangzhou,ssp585,late_2080s,hot,2086,16704,0.10902899503707886,0.23938318267464637,0.16329343616962433,0.32720547914505005,4341,25.98778735632184,4849,29.02897509578544,4290,25.682471264367816,4595,27.50838122605364,2050,12.27250957854406,18.773946360153257,34.83596743295019
guangzhou_ssp585_late_2080s_typical_2087,Guangzhou,ssp585,late_2080s,typical,2087,16704,0.0868465006351471,0.22628248035907744,0.1614268571138382,0.3341388702392578,5023,30.070641762452105,7643,45.75550766283525,4993,29.89104406130268,7369,44.11518199233716,2993,17.91786398467433,1.3709291187739463,15.547174329501914
guangzhou_ssp585_mid_2050s_heatwave_extreme_2059,Guangzhou,ssp585,mid_2050s,heatwave_extreme,2059,16704,0.07459750771522522,0.21340401470661163,0.13476960361003876,0.3263165056705475,3821,22.874760536398465,6385,38.224377394636015,3812,22.82088122605364,6164,36.90134099616858,3054,18.283045977011493,1.221264367816092,10.06345785440613
guangzhou_ssp585_mid_2050s_hot_2057,Guangzhou,ssp585,mid_2050s,hot,2057,16704,0.06826305389404297,0.20468689128756523,0.1273566037416458,0.27438536286354065,3263,19.534243295019156,6174,36.96120689655172,3256,19.492337164750957,6036,36.13505747126437,3151,18.86374521072797,0.6944444444444444,8.83022030651341
guangzhou_ssp585_mid_2050s_typical_2050,Guangzhou,ssp585,mid_2050s,typical,2050,16704,0.06973396241664886,0.2099167890846729,0.12213576585054398,0.2744443416595459,3106,18.59434865900383,5443,32.58500957854406,3098,18.546455938697317,5308,31.776819923371647,2907,17.40301724137931,1.257183908045977,9.195402298850574
guangzhou_ssp585_near_2030s_heatwave_extreme_2033,Guangzhou,ssp585,near_2030s,heatwave_extreme,2033,16704,0.06549829244613647,0.19673164188861844,0.11629337817430496,0.26612377166748047,2899,17.355124521072796,5397,32.309626436781606,2893,17.319204980842912,5238,31.35775862068966,3722,22.282088122605366,0.5687260536398467,6.603208812260536
guangzhou_ssp585_near_2030s_hot_2033,Guangzhou,ssp585,near_2030s,hot,2033,16704,0.06549829244613647,0.19673164188861844,0.11629337817430496,0.26612377166748047,2899,17.355124521072796,5397,32.309626436781606,2893,17.319204980842912,5238,31.35775862068966,3722,22.282088122605366,0.5687260536398467,6.603208812260536
guangzhou_ssp585_near_2030s_typical_2039,Guangzhou,ssp585,near_2030s,typical,2039,16704,0.055258363485336304,0.15999164581298816,0.10373524576425552,0.24628283083438873,1867,11.176963601532568,5121,30.657327586206897,1867,11.176963601532568,5047,30.214319923371647,3536,21.168582375478927,0.017959770114942528,2.819683908045977
houston_ssp245_baseline_2020s_heatwave_extreme_2026,Houston,ssp245,baseline_2020s,heatwave_extreme,2026,16704,0.06420551240444183,0.1848277278244495,0.11530441045761108,0.2692610412836073,2818,16.870210727969347,5399,32.32159961685824,2812,16.834291187739463,5232,31.321839080459768,2617,15.666906130268199,0.15565134099616856,6.561302681992337
