weather,city,scenario,time_slice,severity,weather_year,max_abs_zone_p_tail_error,mean_abs_zone_p_tail_error,max_abs_zone_expected_tsv_error,mean_abs_zone_expected_tsv_error,max_abs_equal_p_tail_error,max_abs_equal_expected_tsv_error,max_abs_mean_pmv_error,mean_abs_mean_pmv_error
beijing_ssp585_near_2030s_heatwave_extreme_2030,Beijing,ssp585,near_2030s,heatwave_extreme,2030,0.29709314358768063,0.005610454051556971,0.8571080196111239,0.02323302951175589,0.18757267052850524,0.6303998663286956,0.4006666666666666,0.02343486590038314
beijing_ssp585_near_2030s_hot_2037,Beijing,ssp585,near_2030s,hot,2037,0.286650523228193,0.005654251607164749,0.6661941119327579,0.02338454743073527,0.15499593476409568,0.49235207678196863,0.34,0.023175686462324395
beijing_ssp585_near_2030s_typical_2032,Beijing,ssp585,near_2030s,typical,2032,0.25050295024456004,0.005092856321762712,0.7522915512072177,0.021783622470626075,0.196181587650391,0.6581992490783963,0.4106666666666665,0.02138202426564496
guangzhou_ssp245_baseline_2020s_heatwave_extreme_2028,Guangzhou,ssp245,baseline_2020s,heatwave_extreme,2028,0.32287742255449814,0.005745834469806874,0.7635361060887763,0.02313034552713524,0.18778628947100834,0.5727114095713983,0.40000000000000024,0.02088597541507024
guangzhou_ssp245_baseline_2020s_hot_2027,Guangzhou,ssp245,baseline_2020s,hot,2027,0.3104536743965721,0.005492667863436717,0.8221623816699153,0.02218434019001951,0.20499266544067454,0.6168572683548252,0.42666666666666686,0.021025702426564496
guangzhou_ssp245_baseline_2020s_typical_2025,Guangzhou,ssp245,baseline_2020s,typical,2025,0.2841483986080129,0.0060003422492350385,0.743054038606914,0.02348676187783814,0.19465394951080617,0.5846471878243171,0.3913333333333331,0.021042225415070247
guangzhou_ssp245_late_2080s_heatwave_extreme_2088,Guangzhou,ssp245,late_2080s,heatwave_extreme,2088,0.33177253769095666,0.009114385445020141,0.8428991551864946,0.030298016296236397,0.20315738839389058,0.6564381000421395,0.42200000000000015,0.025771072796934868
guangzhou_ssp245_late_2080s_hot_2083,Guangzhou,ssp245,late_2080s,hot,2083,0.33846073567601165,0.008562106511895677,0.810250322473657,0.028974466754816724,0.20229210359028882,0.5762110842028966,0.41733333333333344,0.025297972541507025
guangzhou_ssp245_late_2080s_typical_2084,Guangzhou,ssp245,late_2080s,typical,2084,0.3183966795875156,0.007109219755801573,0.819132078566007,0.02606114787652112,0.19717342847168812,0.6334669480399882,0.42533333333333356,0.023504070881226052
guangzhou_ssp245_mid_2050s_heatwave_extreme_2055,Guangzhou,ssp245,mid_2050s,heatwave_extreme,2055,0.32656710963361635,0.007269977077291109,0.8138874093055646,0.026409512815491497,0.19612115835462426,0.6400953012813508,0.398,0.023199513090676884
guangzhou_ssp245_mid_2050s_hot_2051,Guangzhou,ssp245,mid_2050s,hot,2051,0.2995952682078607,0.007131530724717172,0.7893719558969928,0.02599261323397615,0.1968446325231341,0.6575098670317028,0.4173333333333332,0.02314583333333333
guangzhou_ssp245_mid_2050s_typical_2054,Guangzhou,ssp245,mid_2050s,typical,2054,0.26647069564085885,0.006924490963526078,0.8538113208908968,0.025552865369989342,0.19092448533789944,0.6384482310216839,0.4126666666666664,0.023622605363984674
guangzhou_ssp245_near_2030s_heatwave_extreme_2034,Guangzhou,ssp245,near_2030s,heatwave_extreme,2034,0.31831037834551024,0.005872808825265428,0.8060072132249054,0.023335000531098573,0.21934807917099902,0.5489356990303091,0.372,0.02117277298850575
guangzhou_ssp245_near_2030s_hot_2038,Guangzhou,ssp245,near_2030s,hot,2038,0.2841483986080129,0.007019048555462601,0.7619769853770519,0.02572966672215694,0.1895057088312193,0.6142904662420732,0.4146666666666664,0.023153336526181352
guangzhou_ssp245_near_2030s_typical_2031,Guangzhou,ssp245,near_2030s,typical,2031,0.31466376986342004,0.005629336404659536,0.817717521358025,0.02296223809643296,0.21259297669886168,0.6037710579348817,0.41600000000000026,0.02075446998722861
guangzhou_ssp585_baseline_2020s_heatwave_extreme_2026,Guangzhou,ssp585,baseline_2020s,heatwave_extreme,2026,0.3317969107350199,0.006264574781545482,0.7451660797154743,0.02418709272312121,0.18058929567143372,0.5639764618685736,0.3713333333333333,0.021812619731800768
