group_scope,model,event,city,n_steps,n_cases,equal_zone_mean_mean,area_weighted_mean_mean,zone_p90_mean,any_zone_mean,cold_equal_mean,warm_equal_mean,cold_area_mean,warm_area_mean,expected_tsv_equal_mean,expected_tsv_area_mean,time_slice,scenario,severity
city_scenario_time_slice,nominal,outermost,Ahmedabad,50112,3,0.034039438650330274,0.03032781589616135,0.061618431841719654,0.07913271968240407,0.0026056482239715808,0.03143379042635869,0.0026281177399196842,0.027699698156241667,0.2710821391519433,0.23783757635040526,mid_2050s,ssp585,
city_scenario_time_slice,nominal,outermost,Ahmedabad,50112,3,0.03286116436394165,0.029555850829553237,0.05791374657457635,0.07485193233336562,0.002602762465878828,0.030258401898062816,0.0026209503597092155,0.026934900469844016,0.25879864756662385,0.23024333983589043,near_2030s,ssp585,
city_scenario_time_slice,nominal,outermost,Beijing,50112,3,0.02082723363369424,0.021200245020300258,0.031887597405260384,0.03985702789979949,0.002768414101666847,0.018058819532027398,0.0027230660618808933,0.01847717895841936,0.11794604844925624,0.14051117778510958,baseline_2020s,ssp245,
city_scenario_time_slice,nominal,outermost,Beijing,50112,3,0.027890384561733414,0.02752343661289957,0.041184021017783054,0.04898494516385798,0.0026152198230590664,0.02527516473867435,0.0026179752263452137,0.024905461386554358,0.20788799237242717,0.2246863907674959,late_2080s,ssp245,
city_scenario_time_slice,nominal,outermost,Beijing,50112,3,0.024397182285388116,0.024186955125698736,0.03668344887625479,0.044431889681850904,0.002685023923570502,0.021712158361817613,0.0026674973878950017,0.021519457737803737,0.1671623154602164,0.1837544284797863,mid_2050s,ssp245,
city_scenario_time_slice,nominal,outermost,Beijing,50112,3,0.01993116807619332,0.020407814897430977,0.03100718709479817,0.040341739253221896,0.002912923028459448,0.01701824504773387,0.002820579560537581,0.01758723533689339,0.09500434774394503,0.11901541179801438,near_2030s,ssp245,
city_scenario_time_slice,nominal,outermost,Beijing,50112,3,0.02041861212467753,0.020905431856051454,0.03223764843306991,0.04307407253780201,0.0029204907959429335,0.017498121328734597,0.0028295611058591916,0.018075870750192263,0.10547418451414085,0.1300149380283879,baseline_2020s,ssp585,
city_scenario_time_slice,nominal,outermost,Beijing,50112,3,0.029130524428546325,0.028666604742267076,0.042887944401683635,0.051476338976654,0.0026098123675995896,0.026520712060946736,0.0026166968498131417,0.026049907892453938,0.21933847595153563,0.23312095052686096,late_2080s,ssp585,
city_scenario_time_slice,nominal,outermost,Beijing,50112,3,0.024418264006347466,0.024565110672395963,0.037019219998125005,0.046860558313283535,0.002775011062251821,0.021643252944095647,0.0027203370474798215,0.021844773624916138,0.16285787882522232,0.1814420794860339,mid_2050s,ssp585,
city_scenario_time_slice,nominal,outermost,Beijing,50112,3,0.022094999968159522,0.02250713635733139,0.03509300651457097,0.046470110357002034,0.002916322149550892,0.019178677818608634,0.00282472805772766,0.01968240829960373,0.12119888747964859,0.1434835769082992,near_2030s,ssp585,
city_scenario_time_slice,nominal,outermost,Guangzhou,50112,3,0.02457376995075039,0.02346400613836965,0.03635793996277755,0.04488814091000001,0.0026877149538889087,0.021886054996861484,0.0026895729704114863,0.020774433167958167,0.14020461095635325,0.13364558127505236,baseline_2020s,ssp245,
city_scenario_time_slice,nominal,outermost,Guangzhou,50112,3,0.03307601437414997,0.031297120355134586,0.05008579467081476,0.06192578606835875,0.0026519978508273653,0.030424016523322613,0.0026666305219312622,0.028630489833203314,0.242140251616262,0.22892767239652248,late_2080s,ssp245,
city_scenario_time_slice,nominal,outermost,Guangzhou,50112,3,0.02928716739690777,0.027659841212108804,0.0440750934423314,0.05413019169854769,0.0026455584828532644,0.026641608914054513,0.002656326615284325,0.025003514596824476,0.19623595007872882,0.1843123082338534,mid_2050s,ssp245,
city_scenario_time_slice,nominal,outermost,Guangzhou,50112,3,0.02564236776964857,0.024544265783111092,0.037680016634179914,0.04615611890518648,0.00270657361312397,0.022935794156524598,0.002707485697360065,0.021836780085751024,0.15437427200368461,0.147456495013921,near_2030s,ssp245,
city_scenario_time_slice,nominal,outermost,Guangzhou,50112,3,0.025436676615511567,0.0243723249538593,0.03783940855306032,0.046222553486889584,0.0027202066995500596,0.02271646991596151,0.0027169294657754355,0.02165539548808387,0.15098311607127154,0.14604275221968843,baseline_2020s,ssp585,
city_scenario_time_slice,nominal,outermost,Guangzhou,50112,3,0.048508033151423664,0.04651063439688655,0.07229505998888529,0.08899088849138181,0.002480380854709219,0.04602765229671444,0.0025387340728324787,0.04397190032405406,0.40962308029446,0.396733857178617,late_2080s,ssp585,
city_scenario_time_slice,nominal,outermost,Guangzhou,50112,3,0.03051351996902189,0.028912926333254766,0.04650292886556723,0.05730468957168651,0.0026635793595086265,0.02784994060951326,0.002677476050622924,0.026235450282631845,0.2127566471623407,0.20189753419227738,mid_2050s,ssp585,
