weather,city,scenario,time_slice,severity,weather_year,n_steps,corrected_mean_pmv_mean,corrected_mean_pmv_sd,corrected_mean_pmv_p05,corrected_mean_pmv_p50,corrected_mean_pmv_p95,corrected_mean_pmv_min,corrected_mean_pmv_max,corrected_mean_abs_pmv,corrected_area_pmv_mean,corrected_abs_pmv_ge_0p5_pct,corrected_abs_pmv_ge_1p0_pct,corrected_abs_pmv_ge_2p0_pct,stored_mean_pmv_mean,stored_mean_pmv_sd,stored_mean_pmv_p05,stored_mean_pmv_p50,stored_mean_pmv_p95,stored_mean_pmv_min,stored_mean_pmv_max,stored_mean_abs_pmv,stored_abs_pmv_ge_0p5_pct,stored_abs_pmv_ge_1p0_pct,stored_abs_pmv_ge_2p0_pct,corrected_minus_stored_pmv_mean,corrected_vs_stored_pmv_mae,corrected_vs_stored_pmv_mse,corrected_vs_stored_pmv_rmse,corrected_vs_stored_pmv_max_abs,corrected_vs_stored_pmv_pearson_r,corrected_pmv_vs_expected_tsv_pearson_r,corrected_abs_pmv_vs_p_tail_pearson_r,stored_abs_pmv_vs_stored_p_tail_pearson_r,corrected_abs_pmv_vs_no_pmv_p_tail_pearson_r,no_pmv_abs_expected_tsv_vs_p_tail_pearson_r,corrected_pmv_central_but_tail_020_pct,stored_pmv_central_but_tail_020_pct,corrected_pmv_central_but_no_pmv_tail_020_pct
ahmedabad_ssp245_near_2030s_hot_2034,Ahmedabad,ssp245,near_2030s,hot,2034,16704,0.4135037116858238,0.333659937216368,0.001433333333333394,0.3346666666666666,1.0959999999999999,-0.402,1.648666666666667,0.42135284961685826,0.3761129591305379,31.42361111111111,7.962164750957855,0.0,0.4201301484674329,0.33486680365696414,0.004766666666666666,0.3399999999999999,1.102666666666667,-0.402,1.648666666666667,0.42781517401021707,32.076149425287355,8.25550766283525,0.0,-0.006626436781609179,0.02667808109833972,0.0022210132503192844,0.047127627251107015,0.43666666666666676,0.9902639613816555,0.913586833079575,0.917512820557168,0.9163001945403998,0.925203579927498,0.9838567529756994,0.0,0.0,0.005986590038314176
ahmedabad_ssp245_near_2030s_typical_2032,Ahmedabad,ssp245,near_2030s,typical,2032,16704,0.3681535360791826,0.3202163990584315,-0.05733333333333333,0.3026666666666666,0.9966666666666666,-0.5066666666666666,1.5599999999999998,0.38456693007662834,0.33477134622130356,27.807710727969347,4.897030651340996,0.0,0.3745454182630906,0.3219779979089866,-0.054,0.3073333333333333,1.0032333333333323,-0.5066666666666666,1.5599999999999998,0.3906060823754789,28.508141762452105,5.0826149425287355,0.0,-0.006391882183908029,0.025949592911877394,0.0020508124999999997,0.045285897363307265,0.43066666666666664,0.9902676924292813,0.8546705918344126,0.8747691969884264,0.8736405097486313,0.8901065325433416,0.9780606752717697,0.011973180076628351,0.017959770114942528,0.011973180076628351
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,Ahmedabad,ssp585,baseline_2020s,heatwave_extreme,2027,16704,0.5368313777139209,0.4696004927607003,-0.05266666666666667,0.394,1.4765666666666655,-0.3606666666666667,1.9853333333333332,0.5517599377394636,0.4954710227002433,42.74425287356322,18.642241379310345,0.0,0.5434147908684546,0.4704474473903681,-0.05,0.4006666666666667,1.4773333333333336,-0.3606666666666667,1.9853333333333332,0.5579788074712643,43.31896551724138,19.085249042145595,0.0,-0.006583413154533834,0.0282117656449553,0.0022078672307364834,0.046987947717861474,0.430666666666667,0.9951027848940069,0.9322626245436217,0.9424564632126858,0.9409045937322741,0.9509229014211967,0.9887600048352424,0.011973180076628351,0.017959770114942528,0.035919540229885055
ahmedabad_ssp585_baseline_2020s_hot_2027,Ahmedabad,ssp585,baseline_2020s,hot,2027,16704,0.5368313777139209,0.4696004927607003,-0.05266666666666667,0.394,1.4765666666666655,-0.3606666666666667,1.9853333333333332,0.5517599377394636,0.4954710227002433,42.74425287356322,18.642241379310345,0.0,0.5434147908684546,0.4704474473903681,-0.05,0.4006666666666667,1.4773333333333336,-0.3606666666666667,1.9853333333333332,0.5579788074712643,43.31896551724138,19.085249042145595,0.0,-0.006583413154533834,0.0282117656449553,0.0022078672307364834,0.046987947717861474,0.430666666666667,0.9951027848940069,0.9322626245436217,0.9424564632126858,0.9409045937322741,0.9509229014211967,0.9887600048352424,0.011973180076628351,0.017959770114942528,0.035919540229885055
ahmedabad_ssp585_baseline_2020s_typical_2025,Ahmedabad,ssp585,baseline_2020s,typical,2025,16704,0.41822968550446993,0.39277759922120764,-0.016000000000000004,0.308,1.263799999999998,-0.4506666666666667,2.0033333333333334,0.42804745370370373,0.378104793261865,28.85536398467433,10.368773946360154,0.005986590038314176,0.4244644396551724,0.39382186742264536,-0.011899999999999935,0.3126666666666667,1.2738999999999991,-0.4506666666666667,2.0033333333333334,0.4340472940613026,29.454022988505745,10.584291187739463,0.005986590038314176,-0.0062347541507024075,0.026780252234993616,0.002213573861217539,0.04704863293675533,0.42266666666666663,0.9929740455439351,0.9339506978840084,0.9365079298579913,0.9346426428623124,0.9431670814179516,0.9855001958668224,0.0,0.0,0.005986590038314176
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,Ahmedabad,ssp585,late_2080s,heatwave_extreme,2088,16704,0.6209940932311622,0.5007504766604924,0.07200000000000001,0.43333333333333346,1.609899999999999,-0.16866666666666663,2.2273333333333336,0.6221015325670497,0.5767466884956092,44.45641762452107,24.706657088122604,0.3472222222222222,0.6276764846743296,0.5004364272509533,0.076,0.4386666666666666,1.61,-0.1686666666666666,2.2273333333333336,0.6287625319284802,45.00119731800766,25.0,0.3472222222222222,-0.0066823914431672895,0.029562100893997443,0.002687426990208599,0.05184039920957977,0.43933333333333313,0.9947271755643398,0.9770530092555204,0.9648811190283864,0.9636399750194758,0.9732539458488899,0.9925111181607661,0.0,0.0,0.0
ahmedabad_ssp585_late_2080s_hot_2088,Ahmedabad,ssp585,late_2080s,hot,2088,16704,0.6209940932311622,0.5007504766604924,0.07200000000000001,0.43333333333333346,1.609899999999999,-0.16866666666666663,2.2273333333333336,0.6221015325670497,0.5767466884956092,44.45641762452107,24.706657088122604,0.3472222222222222,0.6276764846743296,0.5004364272509533,0.076,0.4386666666666666,1.61,-0.1686666666666666,2.2273333333333336,0.6287625319284802,45.00119731800766,25.0,0.3472222222222222,-0.0066823914431672895,0.029562100893997443,0.002687426990208599,0.05184039920957977,0.43933333333333313,0.9947271755643398,0.9770530092555204,0.9648811190283864,0.9636399750194758,0.9732539458488899,0.9925111181607661,0.0,0.0,0.0
ahmedabad_ssp585_late_2080s_typical_2087,Ahmedabad,ssp585,late_2080s,typical,2087,16704,0.4817313617496808,0.392556024068012,0.034666666666666665,0.3686666666666667,1.2840000000000003,-0.38266666666666665,1.936666666666667,0.48663030810983393,0.43952770492031884,37.440134099616856,12.763409961685824,0.0,0.48861478288633464,0.3932608622256705,0.038,0.37533333333333324,1.2912333333333323,-0.3826666666666666,1.936666666666667,0.49339551404853127,38.110632183908045,13.062739463601533,0.0,-0.00688342113665388,0.02783696519795658,0.0023712995157513833,0.04869599075644096,0.4633333333333337,0.9924748426613884,0.95111501295471,0.950338640228132,0.9492075542501651,0.9539587140630256,0.989880133763948,0.0,0.0,0.0
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,Ahmedabad,ssp585,mid_2050s,heatwave_extreme,2051,16704,0.48113577586206896,0.3916735453981351,-0.005333333333333332,0.3866666666666666,1.2486666666666666,-0.5713333333333334,1.8493333333333335,0.4911749680715198,0.4398161129048471,38.3860153256705,12.146791187739463,0.0,0.487812978927203,0.3925323371148485,-0.0013333333333333,0.392,1.2572333333333323,-0.5713333333333334,1.8493333333333335,0.4976656289910601,39.03855363984675,12.47006704980843,0.0,-0.006677203065134085,0.02826508620689655,0.002336396126011069,0.04833628167340832,0.42666666666666675,0.9925490892917634,0.9249849338393078,0.9300161541802711,0.9286538633216543,0.9348618600744847,0.9866690158417192,0.0,0.0,0.047892720306513405
ahmedabad_ssp585_mid_2050s_hot_2050,Ahmedabad,ssp585,mid_2050s,hot,2050,16704,0.469670617816092,0.37958851021241724,0.009333333333333334,0.368,1.2413333333333334,-0.28733333333333333,1.7853333333333332,0.47654042943805874,0.4306440412228241,36.2787356321839,12.045019157088124,0.0,0.4762722302043423,0.38054713437268733,0.0133333333333333,0.3733333333333333,1.2493333333333332,-0.2873333333333333,1.7853333333333332,0.4829612468071519,36.87140804597701,12.392241379310345,0.0,-0.006601612388250303,0.027524185823754786,0.0023121148893146017,0.048084455797217894,0.45399999999999985,0.9921509383022062,0.935683724991747,0.9358546426614724,0.9347751026788116,0.9415421817384426,0.9881166695399969,0.0,0.0,0.005986590038314176
