group_scope,event,threshold,aggregator,n_steps,stored_high_count,corrected_high_count,both_high_count,union_high_count,stored_only_count,corrected_only_count,disagreement_count,stored_high_pct,corrected_high_pct,corrected_minus_stored_pp,disagreement_pct,jaccard
global,broad_tail,0.25,any_zone,2405376,816740,807854,765007,859587,51733,42847,94580,33.95477463814389,33.58535214452959,-0.36942249361430396,3.9320255959982973,0.8899704160253703
global,broad_tail,0.25,area_weighted_mean,2405376,203580,197814,189425,211969,14155,8389,22544,8.463541666666668,8.223828623882504,-0.2397130427841635,0.9372339293316305,0.8936448254225854
global,broad_tail,0.25,equal_zone_mean,2405376,223760,218168,208443,233485,15317,9725,25042,9.302495742869306,9.070016496381438,-0.23247924648786716,1.0410846370796083,0.892746857399833
global,broad_tail,0.25,zone_p90,2405376,576912,569331,544276,601967,32636,25055,57691,23.984275223499363,23.66910620210728,-0.3151690213920817,2.39841920764155,0.9041625205368401
global,broad_tail,0.26,any_zone,2405376,720922,712840,667554,766208,53368,45286,98654,29.971280997232864,29.63528363133248,-0.33599736590038315,4.101396205832269,0.87124383979285
global,broad_tail,0.26,area_weighted_mean,2405376,184663,179294,171132,192825,13531,8162,21693,7.677094973925075,7.453886627288207,-0.22320834663686673,0.9018548451468711,0.8874990276157138
global,broad_tail,0.26,equal_zone_mean,2405376,204990,199724,190227,214487,14763,9497,24260,8.522160360791826,8.303234088974031,-0.2189262718177948,1.0085741272882076,0.8868929119247321
global,broad_tail,0.26,zone_p90,2405376,523666,516775,490849,549592,32817,25926,58743,21.77065040974883,21.484167132290334,-0.286483277458493,2.4421545737547894,0.8931152564083902
global,broad_tail,0.27,any_zone,2405376,693290,685550,646302,732538,46988,39248,86236,28.822520886547466,28.500741671988077,-0.32177921455938696,3.585135962111537,0.882277779446254
global,broad_tail,0.27,area_weighted_mean,2405376,165351,160428,152688,173091,12663,7740,20403,6.874226732120051,6.669560185185184,-0.20466654693486588,0.8482249760536399,0.8821255871189143
global,broad_tail,0.27,equal_zone_mean,2405376,186560,181636,172546,195650,14014,9090,23104,7.755959982971477,7.551251862494679,-0.20470812047679865,0.9605151128139634,0.8819115767952977
global,broad_tail,0.27,zone_p90,2405376,504828,498239,474168,528899,30660,24071,54731,20.98748802681992,20.713559959025115,-0.2739280677948063,2.275361523520647,0.8965189951200513
global,broad_tail,0.28,any_zone,2405376,658132,650791,612034,696889,46098,38757,84855,27.360878299276287,27.055686927948063,-0.30519137132822477,3.5277229007024262,0.8782374237504108
global,broad_tail,0.28,area_weighted_mean,2405376,146020,141377,133902,153495,12118,7475,19593,6.070568593018306,5.8775426378246065,-0.19302595519369944,0.8145504070881225,0.8723541483435943
global,broad_tail,0.28,equal_zone_mean,2405376,168071,163512,154655,176928,13416,8857,22273,6.987306766177097,6.797772988505748,-0.18953377767134952,0.9259674994678587,0.8741126333875927
global,broad_tail,0.28,zone_p90,2405376,474326,468084,444668,497742,29658,23416,53074,19.71941185078757,19.459909802043423,-0.25950204874414645,2.2064741645381014,0.8933704610018846
global,broad_tail,0.29,any_zone,2405376,641414,634218,596719,678913,44695,37499,82194,26.665851825244786,26.36668861749681,-0.2991632077479779,3.417095705619413,0.8789329413341621
global,broad_tail,0.29,area_weighted_mean,2405376,127920,123614,116842,134692,11078,6772,17850,5.31808748403576,5.139071812473393,-0.17901567156236697,0.7420877234993615,0.867475425415021
global,broad_tail,0.29,equal_zone_mean,2405376,149989,145788,137204,158573,12785,8584,21369,6.23557398094934,6.060923531289911,-0.17465044965942955,0.8883850175606641,0.8652418759814092
global,broad_tail,0.29,zone_p90,2405376,448505,442513,419700,471318,28805,22813,51618,18.645941424542357,18.396832761281395,-0.2491086632609621,2.145943087484036,0.8904815856810052
global,broad_tail,0.3,any_zone,2405376,579585,573248,537999,614834,41586,35249,76835,24.095401301085566,23.831949765857814,-0.2634515352277565,3.1943030944018727,0.8750313092639639
global,broad_tail,0.3,area_weighted_mean,2405376,111580,107633,101441,117772,10139,6192,16331,4.638775808854832,4.474685038846317,-0.16409077000851427,0.6789375133035334,0.8613337635431172
global,broad_tail,0.3,equal_zone_mean,2405376,131377,127578,119352,139603,12025,8226,20251,5.461807218497232,5.303869332694764,-0.15793788580246915,0.8419057976798637,0.8549386474502697
global,broad_tail,0.3,zone_p90,2405376,414911,409338,386273,437976,28638,23065,51703,17.24931985685398,17.017630507662833,-0.23168934919114517,2.1494768385483183,0.8819501525197728
global,broad_tail,0.31,any_zone,2405376,546681,540678,503654,583705,43027,37024,80051,22.72746547733078,22.477899505108557,-0.2495659722222222,3.328003605257556,0.8628570939087381
global,broad_tail,0.31,area_weighted_mean,2405376,96656,93156,87262,102550,9394,5894,15288,4.01833226905066,3.8728248722860794,-0.14550739676458066,0.6355763090676884,0.8509215017064846
