group_scope,model,event,threshold,city,n_steps,n_zone_steps,area_zone_time_mass,unweighted_zone_high_count,equal_zone_mean_high_count,area_weighted_mean_high_count,zone_p90_high_count,any_zone_high_count,hidden_any_zone_count,hidden_p90_count,equal_zone_mean_high_pct,area_weighted_mean_high_pct,zone_p90_high_pct,any_zone_high_pct,hidden_any_zone_pct,hidden_p90_pct,area_weighted_zone_time_high_pct,unweighted_zone_time_high_pct,time_slice,scenario,severity
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,13847.593006288398,238308,13457,12410,31811,40489,27032,18354,13.42692369093231,12.382263729246489,31.73990261813538,40.39850734355045,26.971583652618136,18.312978927203066,13.816643724345864,15.85169220945083,late_2080s,ssp245,hot
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,11377.901398782462,193785,10852,9942,25501,33483,22631,14649,10.827745849297573,9.91977969348659,25.44400542784164,33.40816570881226,22.580419859514684,14.61625957854406,11.352471861812003,12.89012611749681,late_2080s,ssp245,typical
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,12139.08832260512,206745,11836,10910,26401,34326,22490,14565,11.809546615581098,10.885616219667945,26.34199393358876,34.24928160919541,22.439734993614305,14.532447318007662,12.111957537720624,13.75219508301405,mid_2050s,ssp245,heatwave_extreme
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,11234.66100851232,195888,10992,9817,26624,34461,23469,15632,10.96743295019157,9.795059067688378,26.56449553001277,34.38397988505747,23.4165469348659,15.5970625798212,11.209551612899425,13.030012771392082,mid_2050s,ssp245,hot
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,7988.822812859405,144128,7298,6263,22140,29806,22508,14842,7.28168901660281,6.249002234993614,22.09051724137931,29.73938378033206,22.457694763729247,14.808828224776502,7.970967844886859,9.587058322690506,mid_2050s,ssp245,typical
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,7792.9323068770955,140352,7281,6378,21210,28689,21408,13929,7.264727011494252,6.36374521072797,21.16259578544061,28.62488026819923,21.36015325670498,13.897868773946358,7.7755151529345214,9.335887611749682,near_2030s,ssp245,heatwave_extreme
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,9006.359610934147,160591,8376,7453,23912,32106,23730,15536,8.35727969348659,7.4363425925925934,23.858556832694763,32.03424329501915,23.676963601532567,15.501277139208176,8.986230454715583,10.682138676032354,near_2030s,ssp245,hot
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,5895.294934556891,110531,4873,4137,18728,27078,22205,13855,4.862108876117497,4.127753831417625,18.686143039591315,27.01748084291188,22.15537196679438,13.824034163473819,5.882118988023718,7.352264261387825,near_2030s,ssp245,typical
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,9008.705334401136,159341,8398,7514,22848,30727,22329,14450,8.379230523627076,7.4972062579821195,22.796934865900383,30.658325351213282,22.279094827586206,14.417704342273307,8.988570935505603,10.59899159216688,baseline_2020s,ssp585,heatwave_extreme
scenario_time_slice_severity,ordinal,broad_tail,0.23,,100224,1503360,8677.128724516728,154164,7978,7142,22380,30855,22877,14402,7.960169220945083,7.126037675606642,22.32998084291188,30.786039272030653,22.825870051085566,14.369811621966793,8.65773539722694,10.25462962962963,baseline_2020s,ssp585,hot
