weather,city,scenario_raw,time_slice,severity,weather_year,scenario,watts_person,met,bsa_m2,rows,mean_mu,mean_p_tail_mean_agg,p95_p_tail_mean_agg,high_tail_mean_agg_pct,mean_max_zone_p_tail,p95_max_zone_p_tail,any_zone_high_tail_pct,mean_p90_zone_p_tail,mean_zones_high_tail,warm_dominant_pct,cold_dominant_pct
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,COMP-Hi,110.0,1.1,1.7182130584192439,16704,0.3707018792629242,0.14272204041481018,0.31221184581518174,21.00095785440613,0.2716599404811859,0.5259472131729126,63.086685823754785,0.22502437233924866,3.7148587164750957,67.28927203065133,1.6463122605363985
ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,LEGACY,120.0,1.2,1.7182130584192439,16704,0.3645835816860199,0.16706064343452454,0.32487537413835516,27.975335249042143,0.2918735146522522,0.5244118213653564,69.41451149425288,0.24885641038417816,4.346264367816092,76.41283524904215,1.933668582375479
ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,COMP-Lo,90.0,0.9,1.7182130584192439,16704,0.08534961193799973,0.10276094824075699,0.19205318912863717,4.352250957854406,0.15754471719264984,0.36242175102233887,17.95977011494253,0.13726450502872467,0.7409003831417624,42.444923371647505,6.220067049808429
ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,S-real,93.2,0.932,1.7182130584192439,16704,0.09696833789348602,0.1023104190826416,0.19298304617404935,4.4959291187739465,0.16131886839866638,0.36242175102233887,21.384099616858236,0.1401740312576294,0.8456657088122606,43.702107279693486,5.022749042145594
ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,COMP-Med,100.0,1.0,1.7182130584192439,16704,0.044831421226263046,0.13595490157604218,0.2527006998658176,9.18941570881226,0.20508567988872528,0.375043660402298,39.42169540229885,0.18041077256202698,1.7403615900383143,38.81106321839081,33.97389846743295
ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,EQ-Max,108.0,1.08,1.7182130584192439,16704,0.4132256507873535,0.16752499341964722,0.4130523383617399,25.796216475095786,0.31994378566741943,0.6271936893463135,56.770833333333336,0.2688775360584259,3.3020833333333335,87.52993295019157,0.011973180076628351
ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,COMP-Hi,110.0,1.1,1.7182130584192439,16704,0.32053694128990173,0.12783217430114746,0.3333258971571922,14.87667624521073,0.24112489819526672,0.5259472131729126,51.358955938697314,0.2015136033296585,2.8220186781609193,57.8125,0.5507662835249042
ahmedabad_ssp245_late_2080s_typical_2086,Ahmedabad,ssp245,late_2080s,typical,2086,LEGACY,120.0,1.2,1.7182130584192439,16704,0.33059659600257874,0.15237559378147125,0.3519592612981796,19.09123563218391,0.26868176460266113,0.5297576189041138,58.632662835249036,0.2288063019514084,3.328125,68.6661877394636,0.610632183908046
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,COMP-Lo,90.0,0.9,1.7182130584192439,16704,0.11446697264909744,0.10895932465791702,0.211733866482973,6.908524904214559,0.1675557643175125,0.36242175102233887,21.81513409961686,0.14442546665668488,0.8453065134099617,47.575431034482754,5.16044061302682
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,S-real,93.2,0.932,1.7182130584192439,16704,0.12456182390451431,0.10783150047063828,0.2061664029955863,6.082375478927203,0.1705145388841629,0.36242175102233887,24.14990421455939,0.14620831608772278,0.8265086206896551,49.1558908045977,4.531848659003831
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,COMP-Med,100.0,1.0,1.7182130584192439,16704,0.08164303004741669,0.1425381749868393,0.2526023402810095,13.595545977011495,0.2158602923154831,0.375043660402298,45.77346743295019,0.1890169084072113,2.1737308429118776,43.63026819923372,28.735632183908045
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,EQ-Max,108.0,1.08,1.7182130584192439,16704,0.4613066613674164,0.18343816697597504,0.4221546337008476,30.124521072796934,0.3386320173740387,0.624157190322876,63.230363984674334,0.28192824125289917,4.119312739463601,91.31345785440614,0.017959770114942528
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,COMP-Hi,110.0,1.1,1.7182130584192439,16704,0.3646940588951111,0.14102788269519806,0.33838752657175053,20.779454022988507,0.2577526867389679,0.5243842601776123,57.004310344827594,0.21352116763591766,3.6095545977011496,62.48204022988506,0.8261494252873564
