example_kind,weather,city,scenario_raw,time_slice,severity,weather_year,month,day,hour,current_time,outdoor_temp_c,mean_operative_temp_c,mean_rh_pct,example_score,mean_p_tail_min,mean_p_tail_max,mean_p_tail_spread,mean_min_scenario,mean_max_scenario,max_zone_p_tail_min,max_zone_p_tail_max,max_zone_p_tail_spread,zone_min_scenario,zone_max_scenario
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_late_2080s_heatwave_extreme_2081,Ahmedabad,ssp245,late_2080s,heatwave_extreme,2081,12,26,16,16.25,33.07,26.017938647594324,46.69524567985861,0.4958113133907318,0.11531579494476318,0.20594798028469086,0.09063218533992767,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,12,4,16,16.25,33.6425,26.018220338773183,46.98540098428615,0.4958113133907318,0.09733865410089493,0.1820073425769806,0.08466868847608566,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_late_2080s_hot_2081,Ahmedabad,ssp245,late_2080s,hot,2081,12,26,16,16.25,33.07,26.017938647594324,46.69524567985861,0.4958113133907318,0.11531579494476318,0.20594798028469086,0.09063218533992767,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_late_2080s_typical_2087,Ahmedabad,ssp585,late_2080s,typical,2087,2,5,11,11.25,27.125,26.48501753644441,46.28950278461419,0.4958113133907318,0.11608049273490906,0.2131282389163971,0.09704774618148804,S-real,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,Ahmedabad,ssp585,mid_2050s,heatwave_extreme,2051,11,23,14,14.75,32.125,26.10970295737932,46.153409704923085,0.4958113133907318,0.10636516660451889,0.20311959087848663,0.09675442427396774,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_mid_2050s_hot_2050,Ahmedabad,ssp585,mid_2050s,hot,2050,12,26,15,16.0,31.94,26.03888828930969,46.32786432027203,0.4958113133907318,0.1180250272154808,0.20989255607128143,0.09186752885580063,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,Ahmedabad,ssp585,mid_2050s,heatwave_extreme,2051,2,21,14,14.25,34.2625,26.07615545008366,46.99340581042859,0.4958113133907318,0.11098308861255646,0.20030738413333893,0.08932429552078247,S-real,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp245_mid_2050s_hot_2059,Ahmedabad,ssp245,mid_2050s,hot,2059,12,4,16,16.25,33.6425,26.018220338773183,46.98540098428615,0.4958113133907318,0.09733865410089493,0.1820073425769806,0.08466868847608566,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,Ahmedabad,ssp585,late_2080s,heatwave_extreme,2088,2,20,14,14.25,29.402499999999996,26.057371823220837,46.33553768388687,0.4958113133907318,0.10794565826654434,0.2016230672597885,0.09367740899324417,S-real,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
largest_zone_resolved_metabolic_spread,ahmedabad_ssp585_baseline_2020s_typical_2025,Ahmedabad,ssp585,baseline_2020s,typical,2025,11,20,15,15.75,33.9675,26.071157414024963,46.966829853601226,0.4958113133907318,0.1040557250380516,0.18029698729515076,0.07624126225709915,COMP-Lo,EQ-Max,0.25144603848457336,0.7472573518753052,0.4958113133907318,COMP-Lo,EQ-Max
