city,scenario_raw,time_slice,severity,weather_year,weather,occupied_records,mean_zone_high_tail_pct,any_zone_high_tail_pct,hidden_any_zone_high_tail_pct,area_weighted_zone_time_high_tail_pct,area_weighted_mean_p_tail,mean_zone_mean_p_tail,any_zone_mean_p_tail_max,zone_time_high_tail_pct_unweighted
Ahmedabad,ssp585,near_2030s,heatwave_extreme,2037,ahmedabad_ssp585_near_2030s_heatwave_extreme_2037,16704,11.907327586206897,50.19755747126437,38.29022988505747,12.777679071300247,0.11134250074990916,0.1199428821858967,0.23530857904191585,15.319284802043423
Ahmedabad,ssp585,mid_2050s,typical,2055,ahmedabad_ssp585_mid_2050s_typical_2055,16704,7.95617816091954,43.6661877394636,35.71000957854406,9.976024517915189,0.10047029565588268,0.10831349969821462,0.2165754440562287,12.185105363984675
Ahmedabad,ssp585,mid_2050s,hot,2050,ahmedabad_ssp585_mid_2050s_hot_2050,16704,17.64248084291188,56.14822796934866,38.50574712643678,18.604600093194794,0.12486354190747527,0.13366461922035347,0.25439921827085793,21.13026819923372
Ahmedabad,ssp585,mid_2050s,heatwave_extreme,2051,ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,16704,18.13936781609195,57.543103448275865,39.4037356321839,18.20845876960092,0.12527369067923488,0.1352635843534086,0.2602836772538695,21.358556832694763
Ahmedabad,ssp585,late_2080s,typical,2087,ahmedabad_ssp585_late_2080s_typical_2087,16704,18.36685823754789,55.24425287356321,36.877394636015325,18.40897635375291,0.12638004815292514,0.1359633749340694,0.26472347194248397,20.95226692209451
Ahmedabad,ssp585,late_2080s,hot,2088,ahmedabad_ssp585_late_2080s_hot_2088,16704,30.070641762452105,64.70306513409962,34.632423371647505,30.564107545521583,0.15957244716323882,0.16769929980347942,0.29786459292640227,32.67161558109834
Ahmedabad,ssp585,late_2080s,heatwave_extreme,2088,ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,16704,30.070641762452105,64.70306513409962,34.632423371647505,30.564107545521583,0.15957244716323882,0.16769929980347942,0.29786459292640227,32.67161558109834
Beijing,ssp245,baseline_2020s,typical,2026,beijing_ssp245_baseline_2020s_typical_2026,16704,0.44300766283524906,6.98036398467433,6.53735632183908,0.9566254836893766,0.08367906235366959,0.08064578766594828,0.1248755285335503,1.1450351213282246
Beijing,ssp245,baseline_2020s,hot,2025,beijing_ssp245_baseline_2020s_hot_2025,16704,3.5380747126436782,12.158764367816092,8.620689655172415,3.795462252635843,0.09214286811492127,0.0895118129686419,0.1376616861405934,4.039351851851851
Beijing,ssp245,baseline_2020s,heatwave_extreme,2025,beijing_ssp245_baseline_2020s_heatwave_extreme_2025,16704,3.5380747126436782,12.158764367816092,8.620689655172415,3.795462252635843,0.09214286811492127,0.0895118129686419,0.1376616861405934,4.039351851851851
