city,scenario,weather_year,case_id_canonical,source_csv,epw_path,source_rows,epw_rows,expected_transform_sha256,epw_transform_sha256,exact_transform_match
Kolkata,ssp245,2036,kolkata_ssp245_near_2030s_typical_2036,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Kolkata/forecast_Kolkata_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Kolkata/kolkata_ssp245_near_2030s_typical_2036.epw,8784,8784,de113339fd1030340f3ae5b55da544658d2ee342c0e09655b3a62278e708ea5b,de113339fd1030340f3ae5b55da544658d2ee342c0e09655b3a62278e708ea5b,True
Kolkata,ssp245,2039,kolkata_ssp245_near_2030s_heatwave_extreme_2039,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Kolkata/forecast_Kolkata_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Kolkata/kolkata_ssp245_near_2030s_heatwave_extreme_2039.epw,8760,8760,f4a94f137d3b8fd481bb55061d1613e145826f7a6f9b61ac40943dd5178bc3f3,f4a94f137d3b8fd481bb55061d1613e145826f7a6f9b61ac40943dd5178bc3f3,True
Kolkata,ssp245,2053,kolkata_ssp245_mid_2050s_heatwave_extreme_2053,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Kolkata/forecast_Kolkata_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Kolkata/kolkata_ssp245_mid_2050s_heatwave_extreme_2053.epw,8760,8760,673e0a14f9eaf350fb73b166582bf20cdd4259b321588f22224f73ceab12427a,673e0a14f9eaf350fb73b166582bf20cdd4259b321588f22224f73ceab12427a,True
Kolkata,ssp245,2058,kolkata_ssp245_mid_2050s_typical_2058,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Kolkata/forecast_Kolkata_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Kolkata/kolkata_ssp245_mid_2050s_typical_2058.epw,8760,8760,bfaf0fc0c49f485f63b593771896522b9485d2db4bc0147447b2e1c676a85376,bfaf0fc0c49f485f63b593771896522b9485d2db4bc0147447b2e1c676a85376,True
Kolkata,ssp245,2084,kolkata_ssp245_late_2080s_typical_2084,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Kolkata/forecast_Kolkata_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Kolkata/kolkata_ssp245_late_2080s_typical_2084.epw,8784,8784,89f37f45779f72bdee804ac7d1407c2dfc136b34025dea0dd80ae4b3fb46fc7e,89f37f45779f72bdee804ac7d1407c2dfc136b34025dea0dd80ae4b3fb46fc7e,True
Kolkata,ssp245,2086,kolkata_ssp245_late_2080s_heatwave_extreme_2086,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Kolkata/forecast_Kolkata_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Kolkata/kolkata_ssp245_late_2080s_heatwave_extreme_2086.epw,8760,8760,89de7221cb467f27c1ce972234a47eabb776a259fa4f952f636a01133c30677e,89de7221cb467f27c1ce972234a47eabb776a259fa4f952f636a01133c30677e,True
Kolkata,ssp245,2087,kolkata_ssp245_late_2080s_hot_2087,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Kolkata/forecast_Kolkata_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Kolkata/kolkata_ssp245_late_2080s_hot_2087.epw,8760,8760,66f1a5ab6234ae2637da9d6ff528af0bf86fe90df1b2e3218ca9cf0941be4cac,66f1a5ab6234ae2637da9d6ff528af0bf86fe90df1b2e3218ca9cf0941be4cac,True
Phoenix,ssp245,2025,phoenix_ssp245_baseline_2020s_heatwave_extreme_2025,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Phoenix/forecast_Phoenix_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Phoenix/phoenix_ssp245_baseline_2020s_heatwave_extreme_2025.epw,8760,8760,7d66ecab3aebd6b97fa52bfb13c32f11bab848c7ca091cc4c236701e2d4bcd85,7d66ecab3aebd6b97fa52bfb13c32f11bab848c7ca091cc4c236701e2d4bcd85,True
Phoenix,ssp245,2026,phoenix_ssp245_baseline_2020s_typical_2026,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Phoenix/forecast_Phoenix_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Phoenix/phoenix_ssp245_baseline_2020s_typical_2026.epw,8760,8760,8afeeda853e89953116cbe9f59f65d1acd1daf6a310942484454e1f74bc5c99a,8afeeda853e89953116cbe9f59f65d1acd1daf6a310942484454e1f74bc5c99a,True
Phoenix,ssp245,2028,phoenix_ssp245_baseline_2020s_hot_2028,checksum-only://weather_workbooks/CMIP6_MPI_0515_ssp245/Phoenix/forecast_Phoenix_CMIP6_MPI_0515_ssp245.csv,checksum-only://selected_weather/ssp245/Phoenix/phoenix_ssp245_baseline_2020s_hot_2028.epw,8784,8784,2a27ad5f9479799f9e839ecd48f2e950eaac1ace719113e080d1ff5abb78810e,2a27ad5f9479799f9e839ecd48f2e950eaac1ace719113e080d1ff5abb78810e,True
