weather,city,scenario,time_slice,severity,weather_year,trace_path,file_bytes,file_mtime_ns,analysis_state_sha256,occupied_steps,reused_previous_state_inference,corrected_zone_npz,corrected_zone_npz_sha256
beijing_ssp245_near_2030s_typical_2035,Beijing,ssp245,near_2030s,typical,2035,checksum-only://simulation_traces/beijing_ssp245_near_2030s_typical_2035_diagnostic_reference.csv,70331384,1781604429961177741,8fe7934ec102258594e94bbfefff8d5650e9cdf066a9477a48575c1097b36bcb,16704,False,checksum-only://corrected_zone_npz/8fe7934ec102258594e94bbfefff8d5650e9cdf066a9477a48575c1097b36bcb.npz,964863bd45f693ab4af8e3d644fd0a9ecc52b3d1b0a0f48c7bc63401c7b7fb36
beijing_ssp585_baseline_2020s_heatwave_extreme_2029,Beijing,ssp585,baseline_2020s,heatwave_extreme,2029,checksum-only://simulation_traces/beijing_ssp585_baseline_2020s_heatwave_extreme_2029_diagnostic_reference.csv,70805525,1781604491164906364,58f8a9567baf58e59925e26cba77c89cb785f88a864fd780e00073be06b4adcc,16704,False,checksum-only://corrected_zone_npz/58f8a9567baf58e59925e26cba77c89cb785f88a864fd780e00073be06b4adcc.npz,33112268e71c5dd7b6a2b9b83f8559ad7306794958b5c62b440531af8506b9d3
beijing_ssp585_baseline_2020s_hot_2029,Beijing,ssp585,baseline_2020s,hot,2029,checksum-only://simulation_traces/beijing_ssp585_baseline_2020s_hot_2029_diagnostic_reference.csv,70350005,1781604550834724240,58f8a9567baf58e59925e26cba77c89cb785f88a864fd780e00073be06b4adcc,16704,True,checksum-only://corrected_zone_npz/58f8a9567baf58e59925e26cba77c89cb785f88a864fd780e00073be06b4adcc.npz,33112268e71c5dd7b6a2b9b83f8559ad7306794958b5c62b440531af8506b9d3
beijing_ssp585_baseline_2020s_typical_2026,Beijing,ssp585,baseline_2020s,typical,2026,checksum-only://simulation_traces/beijing_ssp585_baseline_2020s_typical_2026_diagnostic_reference.csv,70566400,1781604611396786628,0939cce69c6d5b0d4971a5b6657ac75d6d882f002b8629dd389b7b59b340db93,16704,False,checksum-only://corrected_zone_npz/0939cce69c6d5b0d4971a5b6657ac75d6d882f002b8629dd389b7b59b340db93.npz,cbbfc570758d3b8bfeb7889a687841d936d791e11b021daf40a0d70543f0916b
beijing_ssp585_late_2080s_heatwave_extreme_2089,Beijing,ssp585,late_2080s,heatwave_extreme,2089,checksum-only://simulation_traces/beijing_ssp585_late_2080s_heatwave_extreme_2089_diagnostic_reference.csv,70540811,1781604670906547320,61a3c8e04f2499057d092e367281edcab4ae3400a9e703a52630fb76273f2fd6,16704,False,checksum-only://corrected_zone_npz/61a3c8e04f2499057d092e367281edcab4ae3400a9e703a52630fb76273f2fd6.npz,25a8a06e8767e185c68ab9242c66f4da23927ddf5be5fee646c432b84a029419
beijing_ssp585_late_2080s_hot_2089,Beijing,ssp585,late_2080s,hot,2089,checksum-only://simulation_traces/beijing_ssp585_late_2080s_hot_2089_diagnostic_reference.csv,70085291,1781604731132125389,61a3c8e04f2499057d092e367281edcab4ae3400a9e703a52630fb76273f2fd6,16704,True,checksum-only://corrected_zone_npz/61a3c8e04f2499057d092e367281edcab4ae3400a9e703a52630fb76273f2fd6.npz,25a8a06e8767e185c68ab9242c66f4da23927ddf5be5fee646c432b84a029419
beijing_ssp585_late_2080s_typical_2084,Beijing,ssp585,late_2080s,typical,2084,checksum-only://simulation_traces/beijing_ssp585_late_2080s_typical_2084_diagnostic_reference.csv,70235393,1781604791474543134,9c93ef095f0db77ee081e760098184fea71d19d2b1ef09aef7508e6103bde1d9,16704,False,checksum-only://corrected_zone_npz/9c93ef095f0db77ee081e760098184fea71d19d2b1ef09aef7508e6103bde1d9.npz,267b119bbcb8c872bcb5d2c53e4fa14dffd48f32c797ca813ad1fc933d9a43c8
beijing_ssp585_mid_2050s_heatwave_extreme_2052,Beijing,ssp585,mid_2050s,heatwave_extreme,2052,checksum-only://simulation_traces/beijing_ssp585_mid_2050s_heatwave_extreme_2052_diagnostic_reference.csv,70551126,1781604851464924659,204f80e6a8df47f44a0c247f08bceee9df2e50e5268535262466eb452e1e3d9e,16704,False,checksum-only://corrected_zone_npz/204f80e6a8df47f44a0c247f08bceee9df2e50e5268535262466eb452e1e3d9e.npz,81f2b63a0414e072ade33d2ac3441c789b30e5d6b2af86bfbd48bac1898fe24e
beijing_ssp585_mid_2050s_hot_2052,Beijing,ssp585,mid_2050s,hot,2052,checksum-only://simulation_traces/beijing_ssp585_mid_2050s_hot_2052_diagnostic_reference.csv,70095606,1781604911828522986,204f80e6a8df47f44a0c247f08bceee9df2e50e5268535262466eb452e1e3d9e,16704,True,checksum-only://corrected_zone_npz/204f80e6a8df47f44a0c247f08bceee9df2e50e5268535262466eb452e1e3d9e.npz,81f2b63a0414e072ade33d2ac3441c789b30e5d6b2af86bfbd48bac1898fe24e
beijing_ssp585_mid_2050s_typical_2053,Beijing,ssp585,mid_2050s,typical,2053,checksum-only://simulation_traces/beijing_ssp585_mid_2050s_typical_2053_diagnostic_reference.csv,70301317,1781604973668795868,0c7d7c60b501fa25cbf91227b2fdc9c621da5a5ee23fb8dd3b134f7056eefbc3,16704,False,checksum-only://corrected_zone_npz/0c7d7c60b501fa25cbf91227b2fdc9c621da5a5ee23fb8dd3b134f7056eefbc3.npz,a0915f78f7782d8edf3e4ae69dedde639bb2d1094734aa80f4cfe1c8e7f22102
beijing_ssp585_near_2030s_heatwave_extreme_2030,Beijing,ssp585,near_2030s,heatwave_extreme,2030,checksum-only://simulation_traces/beijing_ssp585_near_2030s_heatwave_extreme_2030_diagnostic_reference.csv,70649082,1781605033252287284,e36ac931bb17e3c18269c1148acb960f6fd0e2e89592aead766563921d6eaa53,16704,False,checksum-only://corrected_zone_npz/e36ac931bb17e3c18269c1148acb960f6fd0e2e89592aead766563921d6eaa53.npz,7b1c0ec02bd2c5ccb4eec3ae4fa6955c52b7ff8beb31264fa140deea4ade7ac5
beijing_ssp585_near_2030s_hot_2037,Beijing,ssp585,near_2030s,hot,2037,checksum-only://simulation_traces/beijing_ssp585_near_2030s_hot_2037_diagnostic_reference.csv,70164716,1781605092830255107,efcdb6ebcbd3e1d095186785e5688e0c61c84315b888e1b0409f46597f49bc70,16704,False,checksum-only://corrected_zone_npz/efcdb6ebcbd3e1d095186785e5688e0c61c84315b888e1b0409f46597f49bc70.npz,e7205d59d5d389741f4dfe6179129574cbad8da20a402b7209ee51b2719e1afe
beijing_ssp585_near_2030s_typical_2032,Beijing,ssp585,near_2030s,typical,2032,checksum-only://simulation_traces/beijing_ssp585_near_2030s_typical_2032_diagnostic_reference.csv,70344591,1781605151876305501,f28931732478f78b2961cf836058a68d97508d71445ae52a600249d93e66b240,16704,False,checksum-only://corrected_zone_npz/f28931732478f78b2961cf836058a68d97508d71445ae52a600249d93e66b240.npz,b3747614e7c7304bc9cc4c394524a6cfb43b98492cc371491a3d4ac29a96a98d
guangzhou_ssp245_baseline_2020s_heatwave_extreme_2028,Guangzhou,ssp245,baseline_2020s,heatwave_extreme,2028,checksum-only://simulation_traces/guangzhou_ssp245_baseline_2020s_heatwave_extreme_2028_diagnostic_reference.csv,70701698,1781605210812705196,9c553c0c0eb09f2143c1c94ed6604305f7782f6cad7710174ec18a6c25651446,16704,False,checksum-only://corrected_zone_npz/9c553c0c0eb09f2143c1c94ed6604305f7782f6cad7710174ec18a6c25651446.npz,1df5ebe9b9c4fcd12aa25706f0327fcc0787d38d5deca5f42b068bf01ecf2048
guangzhou_ssp245_baseline_2020s_hot_2027,Guangzhou,ssp245,baseline_2020s,hot,2027,checksum-only://simulation_traces/guangzhou_ssp245_baseline_2020s_hot_2027_diagnostic_reference.csv,70237312,1781605270264517080,99de4fae1e68e1e3c39f4d2ea5f8467499c115b8cf6e9645bcb957b4408a730d,16704,False,checksum-only://corrected_zone_npz/99de4fae1e68e1e3c39f4d2ea5f8467499c115b8cf6e9645bcb957b4408a730d.npz,8f34b34bbb8100c9421f3a2f8c86be83c785d3277e060a1b67f58b18937523e1
