group_scope,model,event,threshold,n_steps,n_zone_steps,area_zone_time_mass,unweighted_zone_high_count,equal_zone_mean_high_count,area_weighted_mean_high_count,zone_p90_high_count,any_zone_high_count,hidden_any_zone_count,hidden_p90_count,equal_zone_mean_high_pct,area_weighted_mean_high_pct,zone_p90_high_pct,any_zone_high_pct,hidden_any_zone_pct,hidden_p90_pct,area_weighted_zone_time_high_pct,unweighted_zone_time_high_pct
global,nominal,broad_tail,0.32,2405376,36080640,206904.16889962053,3587237,165938,154640,472275,612223,446285,306337,6.898630401234568,6.428932524478502,19.634144516283524,25.45227856268625,18.553648161451683,12.735514115048957,8.601739141806544,9.942276522811126
global,nominal,broad_tail,0.33,2405376,36080640,199777.6779187465,3477004,153504,143185,456341,598445,444941,302837,6.381704980842912,5.952707601638995,18.97171169912729,24.879478301936995,18.497773321094083,12.590006718284377,8.3054656701799,9.636758106286363
global,nominal,broad_tail,0.34,2405376,36080640,192980.225027548,3363610,141320,131946,440905,585930,444610,299585,5.87517294593444,5.48546256385696,18.329982505853554,24.359185424648786,18.484012478714344,12.454809559919115,8.022871477371854,9.322478758691641
global,nominal,broad_tail,0.35,2405376,36080640,185681.88536567253,3238825,129256,120739,423264,570663,441407,294008,5.3736297360578975,5.019547879416773,17.596583652618136,23.724482159961685,18.35085242390379,12.222953916560238,7.719453647399514,8.9766284633532
global,nominal,broad_tail,0.36,2405376,36080640,175592.25064881108,3058880,117355,109302,403271,542381,425026,285916,4.87886301351639,4.544071280332056,16.765403828756916,22.54869924702001,17.66983623350362,11.886540815240528,7.2999917954120725,8.477898396480771
global,nominal,broad_tail,0.37,2405376,36080640,159629.59323711065,2791473,105309,98167,382176,516366,411057,276867,4.378068127394636,4.081149890911026,15.888409961685824,21.46716355363985,17.08909542624521,11.510341834291188,6.636367588148824,7.73676132130694
global,nominal,broad_tail,0.38,2405376,36080640,138979.7123192813,2445533,93634,87534,356446,485836,392202,262812,3.8926970253299276,3.63909841954023,14.818722727756493,20.197923318433375,16.30522629310345,10.926025702426564,5.7778788979054125,6.777964581559528
global,nominal,broad_tail,0.39,2405376,36080640,122043.9401949744,2156888,81397,76717,324594,453343,371946,243197,3.383961592699021,3.1893974164538106,13.494522270114942,18.847074220412942,15.46311262771392,10.110560677415922,5.073798865332256,5.977964914147864
global,nominal,broad_tail,0.4,2405376,36080640,95934.38008787295,1713816,67050,64937,277352,401079,334029,210302,2.7875059865900385,2.6996610924861644,11.530505002128566,16.674274624840358,13.886768638250318,8.742999015538528,3.9883319733743474,4.749960089399745
global,nominal,outermost,0.025,2405376,36080640,839122.6930466323,13456266,1009591,888032,1485147,1821999,812408,476029,41.97227377341422,36.918635589612606,61.74282108077905,75.74695182790549,33.774678054491275,19.79021159269902,34.88530246608565,37.294975920604514
