group_scope,event,threshold,aggregator,n_steps,ordinal_high_count,nominal_high_count,both_high_count,union_high_count,ordinal_only_count,nominal_only_count,disagreement_count,ordinal_high_pct,nominal_high_pct,nominal_minus_ordinal_pp,disagreement_pct,jaccard
global,broad_tail,0.23,equal_zone_mean,2405376,255259,292406,252479,295186,2780,39927,42707,10.6120207402086,12.156353102383994,1.544332362175394,1.7754812553214132,0.8553217293503079
global,broad_tail,0.23,zone_p90,2405376,623854,615671,581913,657612,41941,33758,75699,25.935820428905913,25.595624135270327,-0.3401962936355896,3.1470755507662838,0.884888049488148
global,broad_tail,0.24,any_zone,2405376,811629,762877,726606,847900,85023,36271,121294,33.742292265325666,31.71549894902086,-2.0267933163048104,5.042621195189442,0.8569477532727916
global,broad_tail,0.24,area_weighted_mean,2405376,216130,249897,213002,253025,3128,36895,40023,8.98528961792252,10.389103408365262,1.4038137904427417,1.6638978687739465,0.8418219543523368
global,broad_tail,0.24,equal_zone_mean,2405376,236428,276648,234586,278490,1842,42062,43904,9.829149372073223,11.501237228607918,1.6720878565346955,1.8252447850148998,0.8423498150741499
global,broad_tail,0.24,zone_p90,2405376,578754,596214,546138,628830,32616,50076,82692,24.060853687739463,24.786727729885058,0.7258740421455938,3.4377993295019156,0.8684986403320453
global,broad_tail,0.25,any_zone,2405376,807854,741427,710677,838604,97177,30750,127927,33.58535214452959,30.823746474563645,-2.761605669965943,5.318378498829289,0.8474524328526933
global,broad_tail,0.25,area_weighted_mean,2405376,197814,237020,195964,238870,1850,41056,42906,8.223828623882504,9.853760908897403,1.6299322850148998,1.7837543901660282,0.8203792858039938
global,broad_tail,0.25,equal_zone_mean,2405376,218168,261635,216978,262825,1190,44657,45847,9.070016496381438,10.877093643571731,1.8070771471902936,1.9060221769902086,0.8255607343289261
global,broad_tail,0.25,zone_p90,2405376,569331,578848,535529,612650,33802,43319,77121,23.66910620210728,24.06476160068114,0.39565539857386123,3.206193127394636,0.8741189912674447
global,broad_tail,0.26,any_zone,2405376,712840,725828,649545,789123,63295,76283,139578,29.63528363133248,30.17524079395487,0.5399571626223925,5.802751835887611,0.8231226310727225
global,broad_tail,0.26,area_weighted_mean,2405376,179294,224368,178309,225353,985,46059,47044,7.453886627288207,9.32777245636441,1.8738858290762026,1.955785706683695,0.7912430719804041
global,broad_tail,0.26,equal_zone_mean,2405376,199724,247352,199043,248033,681,48309,48990,8.303234088974031,10.283298744146444,1.9800646551724137,2.036687819284802,0.8024859595295787
global,broad_tail,0.26,zone_p90,2405376,516775,562290,488388,590677,28387,73902,102289,21.484167132290334,23.376386893358873,1.8922197610685396,4.25251603075777,0.8268275216404227
global,broad_tail,0.27,any_zone,2405376,685550,695052,625937,754665,59613,69115,128728,28.500741671988077,28.89577346743295,0.39503179544487016,5.351678905917412,0.8294236515540008
global,broad_tail,0.27,area_weighted_mean,2405376,160428,212163,159900,212691,528,52263,52791,6.669560185185184,8.820367377075351,2.150807191890166,2.1947088521711366,0.7517948573282367
global,broad_tail,0.27,equal_zone_mean,2405376,181636,233204,181236,233604,400,51968,52368,7.551251862494679,9.695116272882078,2.143864410387399,2.177123243933589,0.7758257564082807
global,broad_tail,0.27,zone_p90,2405376,498239,542575,469619,571195,28620,72956,101576,20.713559959025115,22.55676451415496,1.8432045551298424,4.222874095359728,0.8221693117061599
global,broad_tail,0.28,any_zone,2405376,650791,674577,594913,730455,55878,79664,135542,27.055686927948063,28.044555196360154,0.9888682684120903,5.634961020647085,0.814441683608162
global,broad_tail,0.28,area_weighted_mean,2405376,141377,200145,141113,200409,264,59032,59296,5.8775426378246065,8.320736550127714,2.4431939123031077,2.4651447424435933,0.7041250642436218
global,broad_tail,0.28,equal_zone_mean,2405376,163512,219254,163272,219494,240,55982,56222,6.797772988505748,9.115165362920392,2.3173923744146445,2.3373476745423583,0.7438563240908636
global,broad_tail,0.28,zone_p90,2405376,468084,528493,444121,552456,23963,84372,108335,19.459909802043423,21.971325896658154,2.5114160946147295,4.5038696652831,0.8039029352563825
global,broad_tail,0.29,any_zone,2405376,634218,655291,581686,707823,52532,73605,126137,26.36668861749681,27.24276786664538,0.8760792491485739,5.243961858769689,0.8217958444413364
global,broad_tail,0.29,area_weighted_mean,2405376,123614,188496,123409,188701,205,65087,65292,5.139071812473393,7.836446360153257,2.697374547679864,2.714419699872286,0.6539922946884225
global,broad_tail,0.29,equal_zone_mean,2405376,145788,205651,145626,205813,162,60025,60187,6.060923531289911,8.549640472009367,2.488716940719455,2.5021867683056622,0.7075646339152531
global,broad_tail,0.29,zone_p90,2405376,442513,514977,421792,535698,20721,93185,113906,18.396832761281395,21.409417903895275,3.012585142613878,4.735475867390379,0.7873690026843483
global,broad_tail,0.3,any_zone,2405376,573248,640797,537425,676620,35823,103372,139195,23.831949765857814,26.640200949872284,2.808251184014474,5.7868291693273735,0.7942789157872957
global,broad_tail,0.3,area_weighted_mean,2405376,107633,176972,107515,177090,118,69457,69575,4.474685038846317,7.357352862920391,2.882667824074074,2.8924791799702,0.6071206731040714
global,broad_tail,0.3,equal_zone_mean,2405376,127578,191965,127466,192077,112,64499,64611,5.303869332694764,7.9806649771179226,2.6767956444231586,2.686108117816092,0.6636192776855115
global,broad_tail,0.3,zone_p90,2405376,409338,500650,393180,516808,16158,107470,123628,17.017630507662833,20.813793768624947,3.7961632609621114,5.139653842060452,0.760785436757945
global,broad_tail,0.31,any_zone,2405376,540678,630353,515515,655516,25163,114838,140001,22.477899505108557,26.20600687792678,3.728107372818221,5.820337444125159,0.78642626572044
global,broad_tail,0.31,area_weighted_mean,2405376,93156,165866,93078,165944,78,72788,72866,3.8728248722860794,6.8956371062154105,3.0228122339293315,3.029297706470839,0.5609000626717446
