weather,city,scenario,time_slice,severity,weather_year,event,threshold,aggregator,n_steps,ordinal_high_count,nominal_high_count,both_high_count,union_high_count,ordinal_only_count,nominal_only_count,disagreement_count,ordinal_high_pct,nominal_high_pct,nominal_minus_ordinal_pp,disagreement_pct,jaccard
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.14,zone_p90,16704,9164,9005,8828,9341,336,177,513,54.861111111111114,53.90924329501916,-0.9518678160919558,3.071120689655172,0.9450808264639761
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.14,any_zone,16704,10945,11000,10671,11274,274,329,603,65.52322796934867,65.85249042145594,0.3292624521072707,3.6099137931034484,0.9465141032464076
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.15,equal_zone_mean,16704,5145,5588,5013,5720,132,575,707,30.801005747126435,33.45306513409962,2.6520593869731823,4.232519157088123,0.8763986013986014
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.15,area_weighted_mean,16704,4060,4115,3828,4347,232,287,519,24.305555555555554,24.634818007662833,0.329262452107279,3.1070402298850572,0.8806073153899241
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.15,zone_p90,16704,9070,8715,8603,9182,467,112,579,54.29837164750958,52.173132183908045,-2.125239463601536,3.466235632183908,0.9369418427357874
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.15,any_zone,16704,10878,10835,10610,11103,268,225,493,65.12212643678161,64.8647030651341,-0.25742337164751383,2.951388888888889,0.9555975862379537
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.16,equal_zone_mean,16704,4495,4816,4334,4977,161,482,643,26.90972222222222,28.831417624521073,1.9216954022988508,3.849377394636015,0.8708057062487442
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.16,area_weighted_mean,16704,3737,3749,3539,3947,198,210,408,22.37188697318008,22.44372605363985,0.07183908045977072,2.442528735632184,0.8966303521662021
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.16,zone_p90,16704,8934,8380,8319,8995,615,61,676,53.48419540229885,50.167624521072796,-3.3165708812260553,4.046934865900384,0.9248471372984992
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.16,any_zone,16704,10683,10685,10453,10915,230,232,462,63.95474137931034,63.96671455938697,0.011973180076629841,2.7658045977011496,0.9576729271644526
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.17,equal_zone_mean,16704,4025,4258,3878,4405,147,380,527,24.09602490421456,25.490900383141764,1.3948754789272044,3.1549329501915713,0.8803632236095347
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.17,area_weighted_mean,16704,3452,3408,3265,3595,187,143,330,20.665708812260537,20.402298850574713,-0.2634099616858232,1.9755747126436782,0.9082058414464534
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.17,zone_p90,16704,8592,8175,8105,8662,487,70,557,51.43678160919541,48.940373563218394,-2.4964080459770113,3.334530651340996,0.9356961440775803
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.17,any_zone,16704,10678,10350,10203,10825,475,147,622,63.92480842911878,61.96120689655172,-1.9636015325670497,3.723659003831418,0.942540415704388
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.18,equal_zone_mean,16704,3610,3828,3479,3959,131,349,480,21.611590038314176,22.916666666666664,1.3050766283524888,2.8735632183908044,0.8787572619348321
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.18,area_weighted_mean,16704,3210,3163,3040,3333,170,123,293,19.216954022988507,18.93558429118774,-0.2813697318007652,1.7540708812260535,0.9120912091209121
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.18,zone_p90,16704,8438,7818,7757,8499,681,61,742,50.51484674329502,46.80316091954023,-3.7116858237547845,4.442049808429119,0.9126956112483822
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.18,any_zone,16704,10670,9683,9651,10702,1019,32,1051,63.87691570881226,57.968151340996165,-5.908764367816099,6.291906130268199,0.9017940571855728
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.19,equal_zone_mean,16704,3281,3504,3180,3605,101,324,425,19.64200191570881,20.977011494252874,1.3350095785440608,2.544300766283525,0.8821081830790569
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.19,area_weighted_mean,16704,2968,2943,2810,3101,158,133,291,17.768199233716476,17.618534482758623,-0.1496647509578536,1.7420977011494254,0.9061593034504999
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.19,zone_p90,16704,7951,7662,7511,8102,440,151,591,47.599377394636015,45.86925287356322,-1.7301245210727956,3.5380747126436782,0.9270550481362626
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.19,any_zone,16704,10126,9441,9358,10209,768,83,851,60.62021072796935,56.519396551724135,-4.1008141762452155,5.094588122605364,0.9166421784699774
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.2,equal_zone_mean,16704,3042,3296,2966,3372,76,330,406,18.211206896551722,19.731800766283524,1.520593869731801,2.430555555555556,0.8795966785290629
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.2,area_weighted_mean,16704,2735,2763,2601,2897,134,162,296,16.373323754789272,16.540948275862068,0.16762452107279835,1.7720306513409962,0.8978253365550569
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.2,zone_p90,16704,7453,7529,7173,7809,280,356,636,44.61805555555556,45.07303639846743,0.4549808429118729,3.807471264367816,0.9185555128697657
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.2,any_zone,16704,9703,9276,9067,9912,636,209,845,58.087883141762454,55.5316091954023,-2.5562739463601547,5.0586685823754785,0.9147497982243745
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.21,equal_zone_mean,16704,2790,3086,2725,3151,65,361,426,16.70258620689655,18.474616858237546,1.7720306513409945,2.550287356321839,0.8648048238654396
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.21,area_weighted_mean,16704,2474,2597,2379,2692,95,218,313,14.81082375478927,15.547174329501914,0.7363505747126436,1.873802681992337,0.8837295690936107
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.21,zone_p90,16704,7085,7348,6873,7560,212,475,687,42.41499042145594,43.98946360153257,1.5744731800766298,4.112787356321839,0.9091269841269841
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.21,any_zone,16704,8920,9180,8664,9436,256,516,772,53.400383141762454,54.956896551724135,1.5565134099616795,4.621647509578544,0.9181856718948707
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.22,equal_zone_mean,16704,2519,2870,2470,2919,49,400,449,15.080220306513409,17.181513409961685,2.1012931034482762,2.687978927203065,0.8461801986981843
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.22,area_weighted_mean,16704,2264,2450,2192,2522,72,258,330,13.553639846743296,14.667145593869732,1.1135057471264365,1.9755747126436782,0.8691514670896114
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.22,zone_p90,16704,7065,7193,6798,7460,267,395,662,42.29525862068966,43.06154214559387,0.7662835249042099,3.963122605363985,0.911260053619303
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.22,any_zone,16704,8920,8999,8593,9326,327,406,733,53.400383141762454,53.87332375478927,0.47294061302681767,4.388170498084292,0.9214025305597255
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.23,equal_zone_mean,16704,2271,2677,2233,2715,38,444,482,13.595545977011495,16.02610153256705,2.4305555555555554,2.885536398467433,0.8224677716390424
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.23,area_weighted_mean,16704,2033,2304,1968,2369,65,336,401,12.17073754789272,13.793103448275861,1.6223659003831408,2.400622605363985,0.8307302659349937
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.23,zone_p90,16704,7053,7034,6704,7383,349,330,679,42.223419540229884,42.109674329501914,-0.11374521072796684,4.064894636015326,0.9080319653257484
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.23,any_zone,16704,8919,8828,8471,9276,448,357,805,53.394396551724135,52.849616858237546,-0.5447796934865856,4.819204980842912,0.9132169038378611
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.24,equal_zone_mean,16704,2055,2480,2019,2516,36,461,497,12.302442528735632,14.846743295019158,2.544300766283525,2.975335249042146,0.8024642289348172
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.24,area_weighted_mean,16704,1791,2158,1746,2203,45,412,457,10.721982758620689,12.919061302681992,2.1970785440613025,2.7358716475095783,0.7925556059918293
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.24,zone_p90,16704,6588,6808,6294,7102,294,514,808,39.439655172413794,40.75670498084291,1.317049808429116,4.837164750957855,0.8862292312024782
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.24,any_zone,16704,8919,8648,8333,9234,586,315,901,53.394396551724135,51.772030651341,-1.622365900383138,5.393917624521072,0.902425817630496
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.25,equal_zone_mean,16704,1841,2311,1811,2341,30,500,530,11.021312260536398,13.83500957854406,2.813697318007663,3.172892720306513,0.7736010252029047
ahmedabad_ssp245_baseline_2020s_heatwave_extreme_2029,Ahmedabad,ssp245,baseline_2020s,heatwave_extreme,2029,broad_tail,0.25,area_weighted_mean,16704,1550,1999,1525,2024,25,474,499,9.279214559386974,11.96719348659004,2.6879789272030647,2.987308429118774,0.7534584980237155
