weather,zone,zone_label,floor,position,position_name,high_tail_pct__COMP-Lo,high_tail_pct__S-real,high_tail_pct__COMP-Med,high_tail_pct__EQ-Max,high_tail_pct__COMP-Hi,high_tail_pct__LEGACY,mean_p_tail__COMP-Lo,mean_p_tail__S-real,mean_p_tail__COMP-Med,mean_p_tail__EQ-Max,mean_p_tail__COMP-Hi,mean_p_tail__LEGACY,high_tail_pct_profile_spread,mean_p_tail_profile_spread,sreal_high_tail_gap_to_max_profile,sreal_mean_p_tail_gap_to_max_profile
phoenix_ssp245_late_2080s_hot_2086,perimeter_bot_zn_1,Bottom P1,bottom,P1,P1 south,13.876915708812259,16.133860153256705,31.393678160919542,50.646551724137936,40.116139846743295,48.20402298850575,0.15314832168515868,0.15935139931155604,0.19783557520822198,0.2843064825439144,0.21054757290187046,0.2365411904907101,36.76963601532567,0.1311581608587557,34.51269157088123,0.12495508323235835
phoenix_ssp245_late_2080s_hot_2086,perimeter_bot_zn_2,Bottom P2,bottom,P2,P2 east,3.789511494252874,4.771312260536399,13.451867816091953,19.330699233716476,16.4272030651341,18.59434865900383,0.11189338083438183,0.11454463981298184,0.15120338797361535,0.18018162381007988,0.1308676659130547,0.1604094539152843,15.541187739463602,0.06828824297569805,14.559386973180079,0.06563698399709804
phoenix_ssp245_late_2080s_hot_2086,perimeter_bot_zn_3,Bottom P3,bottom,P3,P3 north,2.1491858237547894,2.9274425287356323,13.457854406130268,17.97772988505747,16.073994252873565,18.09147509578544,0.1060203304259737,0.10733065668034082,0.14424755577263174,0.16359084047487318,0.1243326506395082,0.15625900853080227,15.942289272030651,0.05757051004889949,15.164032567049809,0.05626018379453236
phoenix_ssp245_late_2080s_hot_2086,perimeter_bot_zn_4,Bottom P4,bottom,P4,P4 west,3.4123563218390807,4.0888409961685825,11.129070881226054,16.49904214559387,12.960967432950191,16.06800766283525,0.11194052669583161,0.1135664166723623,0.14899304246746517,0.17171233011188608,0.12395844422004608,0.15390544736733056,13.086685823754788,0.05977180341605447,12.410201149425287,0.058145913439523786
phoenix_ssp245_late_2080s_hot_2086,core_mid,Core middle,middle,core,Core,0.4968869731800767,0.8022030651340997,8.836206896551724,14.643199233716475,11.985153256704981,14.319923371647509,0.10419630167363002,0.10463705597398222,0.14034310323739296,0.1524316741593389,0.11139303224258316,0.14125387568668113,14.146312260536398,0.048235372485708874,13.840996168582375,0.04779461818535667
phoenix_ssp245_late_2080s_hot_2086,perimeter_mid_zn_1,Middle P1,middle,P1,P1 south,10.847701149425287,13.236350574712644,28.35249042145594,43.63625478927203,37.122844827586206,42.53472222222222,0.14256006013124037,0.14689727131455238,0.18644813725001724,0.2559093166330939,0.19743724589285,0.22439967669657357,32.78855363984674,0.11334925650185354,30.399904214559385,0.10901204531854153
phoenix_ssp245_late_2080s_hot_2086,perimeter_mid_zn_2,Middle P2,middle,P2,P2 east,3.8254310344827585,4.388170498084292,11.386494252873563,19.03735632183908,14.804837164750959,18.26508620689655,0.1134827075440532,0.11534354581182069,0.15070848869243672,0.17777768372487274,0.12830969071479725,0.15756849032478235,15.211925287356323,0.06429497618081954,14.649185823754788,0.06243413791305205
phoenix_ssp245_late_2080s_hot_2086,perimeter_mid_zn_3,Middle P3,middle,P3,P3 north,4.932950191570881,6.124281609195402,14.182231800766285,22.22222222222222,19.785680076628353,21.755268199233715,0.11244771484668514,0.11446616567992371,0.15025551034051488,0.18566881371331342,0.1375936624720081,0.16735134551354236,17.28927203065134,0.07322109886662828,16.097940613026818,0.07120264803338971
phoenix_ssp245_late_2080s_hot_2086,perimeter_mid_zn_4,Middle P4,middle,P4,P4 west,5.609434865900384,6.022509578544062,11.446360153256704,17.53472222222222,13.427921455938696,17.097701149425287,0.11791754541765732,0.1185415632443895,0.1534855033083811,0.17821118512879716,0.12926615865411922,0.15650157541903661,11.925287356321839,0.06029363971113984,11.51221264367816,0.059669621884407664
phoenix_ssp245_late_2080s_hot_2086,core_top,Core top,top,core,Core,0.8979885057471264,1.1314655172413792,9.961685823754788,13.942768199233715,11.619971264367816,13.781130268199234,0.10494835582046484,0.10560466486532884,0.14197935828932765,0.15350484545442492,0.11233626257559923,0.14158164249192456,13.04477969348659,0.04855648963396007,12.811302681992336,0.04790018058909608
