dataset,analysis,metric,level,contrast,estimate,ci_lower_2_5,ci_upper_97_5,bootstrap_mean,bootstrap_sd,n_bootstrap_valid,resampling_unit,n_resampling_units
unique_source_year_119,time_slice_level,mean_p_tail,baseline_2020s,,0.102663552121399,0.09504387212956618,0.11097746684093356,0.10271281997985293,0.004123433013823733,10000,city × scenario_raw,12
unique_source_year_119,time_slice_level,mean_p_tail,near_2030s,,0.10228632310849052,0.0959036032060518,0.10946523161046641,0.10240512094242572,0.003479330969830657,10000,city × scenario_raw,12
unique_source_year_119,time_slice_level,mean_p_tail,mid_2050s,,0.11463531080420634,0.10691056990595436,0.12300462768109653,0.11469501152135912,0.004089646850529139,10000,city × scenario_raw,12
unique_source_year_119,time_slice_level,mean_p_tail,late_2080s,,0.1339518858862023,0.12227584737688668,0.14635495179073052,0.1339897983443213,0.006162272533673321,10000,city × scenario_raw,12
unique_source_year_119,time_slice_contrast,mean_p_tail,,near_2030s minus baseline_2020s,-0.00037722901290847266,-0.00412251253462414,0.0029509224063517946,-0.00030769903742722005,0.0018221732369195366,10000,city × scenario_raw,12
unique_source_year_119,time_slice_contrast,mean_p_tail,,mid_2050s minus baseline_2020s,0.011971758682807351,0.006134165265692001,0.018915963577112577,0.011982191541506182,0.0032490108062237576,10000,city × scenario_raw,12
unique_source_year_119,time_slice_contrast,mean_p_tail,,late_2080s minus baseline_2020s,0.031288333764803306,0.021608410625389374,0.04200823544746824,0.031276978364468355,0.005155111587462733,10000,city × scenario_raw,12
unique_source_year_119,time_slice_level,high_tail_pct,baseline_2020s,,8.37874884396882,6.074834988161002,10.954914562807879,8.383118115204162,1.262473445321398,10000,city × scenario_raw,12
unique_source_year_119,time_slice_level,high_tail_pct,near_2030s,,8.464072735137806,6.1853211673498425,10.673552482358868,8.471461085535562,1.1597445580071848,10000,city × scenario_raw,12
unique_source_year_119,time_slice_level,high_tail_pct,mid_2050s,,13.014248084291188,10.625194564176246,15.796086765644956,13.02060410198097,1.319444938059037,10000,city × scenario_raw,12
unique_source_year_119,time_slice_level,high_tail_pct,late_2080s,,20.142604703395428,16.37196541354509,23.923349025372108,20.13423903850752,1.941520429742132,10000,city × scenario_raw,12
unique_source_year_119,time_slice_contrast,high_tail_pct,,near_2030s minus baseline_2020s,0.08532389116898642,-1.4978771059599911,1.5711856747892525,0.08834297033139926,0.778244275422994,10000,city × scenario_raw,12
unique_source_year_119,time_slice_contrast,high_tail_pct,,mid_2050s minus baseline_2020s,4.635499240322368,2.335214342738942,7.279213085154689,4.637485986776807,1.2423372055006376,10000,city × scenario_raw,12
unique_source_year_119,time_slice_contrast,high_tail_pct,,late_2080s minus baseline_2020s,11.763855859426608,8.52829679832194,15.288307065735973,11.751120923303352,1.6876601564706903,10000,city × scenario_raw,12
unique_source_year_119,time_slice_level,any_zone_high_tail_pct,baseline_2020s,,31.350739859955077,24.235085266622338,38.53255849753695,31.340682498586034,3.6595778001094788,10000,city × scenario_raw,12
