city,mu_bin,year_a,weather_a,month_a,day_a,time_a,expected_tsv_a,p_tail_a,d_tail_a,year_b,weather_b,month_b,day_b,time_b,expected_tsv_b,p_tail_b,d_tail_b,mu_gap,tail_gap,d_tail_gap
phoenix,0.14,2025,phoenix_ssp585_cmip_direct_2025,4,26,13.0,0.1437162526505375,0.0636520468069167,0.0004264735604889,2075,phoenix_ssp585_cmip_direct_2075,10,5,12.75,0.1432424594832154,0.1526825432918679,0.049811533744626,0.00047379316732210075,0.08903049648495119,0.049385060184137096
phoenix,0.22,2025,phoenix_ssp585_cmip_direct_2025,4,25,21.5,0.2157289660045188,0.0753952236661604,0.0365497419373418,2075,phoenix_ssp585_cmip_direct_2075,10,4,13.0,0.2259474158467966,0.1638669100817822,0.0759510208828306,0.010218449842277794,0.0884716864156218,0.039401278945488796
phoenix,0.8200000000000001,2025,phoenix_ssp585_cmip_direct_2025,5,7,6.0,0.8129081964621427,0.2358359832888588,0.220844097366734,2075,phoenix_ssp585_cmip_direct_2075,8,1,8.75,0.8155787134416902,0.3221732463394658,0.2809136088767588,0.002670516979547455,0.08633726305060702,0.06006951151002482
beijing,0.02,2025,beijing_ssp585_cmip_direct_2025,7,26,21.5,0.0284227251992389,0.0516771874506784,-0.0165843321275141,2075,beijing_ssp585_cmip_direct_2075,1,1,12.75,0.0237314535618029,0.137620232679322,0.0809245273667779,0.004691271637436,0.0859430452286436,0.097508859494292
phoenix,0.54,2025,phoenix_ssp585_cmip_direct_2025,11,19,6.0,0.5400019257167449,0.1640353966714039,0.1376976827720323,2075,phoenix_ssp585_cmip_direct_2075,8,2,21.5,0.5321602380311904,0.2491780081630168,0.1983655552790069,0.007841687685554488,0.0851426114916129,0.06066787250697461
phoenix,0.92,2025,phoenix_ssp585_cmip_direct_2025,10,8,6.0,0.9255341559681722,0.2633177674453381,0.2441925355310676,2075,phoenix_ssp585_cmip_direct_2075,7,27,19.25,0.9286812201783848,0.3471733505731849,0.3164570852595531,0.0031470642102126023,0.0838555831278468,0.07226454972848548
phoenix,-0.06,2025,phoenix_ssp585_cmip_direct_2025,10,4,8.25,-0.0620029106415992,0.0480192208943967,-0.0233877812821079,2075,phoenix_ssp585_cmip_direct_2075,10,1,20.75,-0.0555739807108757,0.1310587608141628,-0.0099215884484368,0.006428929930723498,0.08303953991976609,0.0134661928336711
phoenix,0.84,2025,phoenix_ssp585_cmip_direct_2025,5,21,6.0,0.8369390604062671,0.2442667925352097,0.2322293783608419,2075,phoenix_ssp585_cmip_direct_2075,8,1,9.25,0.842287348092755,0.3273008033087624,0.289704541294997,0.005348287686487874,0.08303401077355269,0.05747516293415511
phoenix,1.22,2025,phoenix_ssp585_cmip_direct_2025,6,18,6.0,1.2187182807448491,0.3688827840704675,0.3573117881791025,2075,phoenix_ssp585_cmip_direct_2075,8,15,14.75,1.2179475521976897,0.4516385512588228,0.4318686403218253,0.0007707285471594272,0.08275576718835531,0.07455685214272284
phoenix,0.4,2025,phoenix_ssp585_cmip_direct_2025,8,14,21.5,0.4044413608132233,0.120971116349693,0.0744959982491422,2075,phoenix_ssp585_cmip_direct_2075,8,2,6.5,0.4066185334376739,0.2030035812345297,0.1519365826933734,0.0021771726244506073,0.08203246488483669,0.0774405844442312
phoenix,0.3,2025,phoenix_ssp585_cmip_direct_2025,11,19,16.75,0.2914426805475757,0.089738243417133,0.0515823271017846,2075,phoenix_ssp585_cmip_direct_2075,8,2,7.5,0.2966632818818684,0.1712904869080731,0.1044118022414943,0.005220601334292696,0.0815522434909401,0.052829475139709696
phoenix,0.34,2025,phoenix_ssp585_cmip_direct_2025,4,23,13.25,0.3350107388772342,0.0996223748109533,0.0675989387526253,2075,phoenix_ssp585_cmip_direct_2075,9,26,8.75,0.3458558437690145,0.1810205482041371,0.1093631948528034,0.01084510489178031,0.0813981733931838,0.04176425610017809
phoenix,0.44,2025,phoenix_ssp585_cmip_direct_2025,10,22,16.25,0.4369556602509093,0.1337350832976601,0.0895130515694203,2075,phoenix_ssp585_cmip_direct_2075,8,2,8.25,0.43757945972236,0.2150480611398882,0.1573147426502487,0.0006237994714506923,0.0813129778422281,0.0678016910808284
phoenix,0.32,2025,phoenix_ssp585_cmip_direct_2025,4,23,15.5,0.3201217983759579,0.0955108767393232,0.058995473898261,2075,phoenix_ssp585_cmip_direct_2075,10,3,14.25,0.3222220971498705,0.1764234805451718,0.0988083929846063,0.002100298773912601,0.0809126038058486,0.039812919086345294
phoenix,1.12,2025,phoenix_ssp585_cmip_direct_2025,9,17,6.0,1.1119439034433078,0.3417954551918113,0.3209065086361227,2075,phoenix_ssp585_cmip_direct_2075,8,20,10.0,1.128098602277453,0.4204544317301326,0.3919901669130396,0.01615469883414522,0.07865897653832127,0.07108365827691693
beijing,-0.02,2025,beijing_ssp585_cmip_direct_2025,7,27,21.5,-0.0238845022214434,0.0453975840617983,-0.0214218728393099,2075,beijing_ssp585_cmip_direct_2075,1,15,14.5,-0.016688987192074,0.1238277697589572,0.0618584161097692,0.007195515029369399,0.0784301856971589,0.0832802889490791
