scope,case_label,eps,direction_threshold,tail_threshold,rows,modest_mu_directional_tail_pct,sign_conflict_pct_of_comparable,sign_comparable_rows,high_tail_rows,high_tail_ambiguous_direction_pct_of_all,high_tail_ambiguous_direction_pct_of_high_tail,warm_directional_tail_pct,cold_directional_tail_pct,mean_abs_d_tail,p95_abs_d_tail
weather_case,houston ssp585 cmip direct 2075,0.15,0.1,0.2,16704,0.0,0.0,3495,2382,0.0,0.0,20.92313218390805,0.0,0.06094168784586459,0.2776144783474985
weather_case,houston ssp585 cmip direct 2075,0.25,0.04,0.2,16704,1.7480842911877392,0.0,4698,2382,0.0,0.0,29.801245210727966,0.07183908045977011,0.06094168784586459,0.2776144783474985
weather_case,houston ssp585 cmip direct 2075,0.25,0.06,0.2,16704,0.0,0.0,4351,2382,0.0,0.0,26.047653256704983,0.0,0.06094168784586459,0.2776144783474985
weather_case,houston ssp585 cmip direct 2075,0.25,0.08,0.2,16704,0.0,0.0,3838,2382,0.0,0.0,22.97653256704981,0.0,0.06094168784586459,0.2776144783474985
weather_case,houston ssp585 cmip direct 2075,0.25,0.1,0.2,16704,0.0,0.0,3495,2382,0.0,0.0,20.92313218390805,0.0,0.06094168784586459,0.2776144783474985
weather_case,houston ssp585 cmip direct 2075,0.35,0.04,0.2,16704,7.004310344827585,0.0,3820,2382,0.0,0.0,29.801245210727966,0.07183908045977011,0.06094168784586459,0.2776144783474985
weather_case,houston ssp585 cmip direct 2075,0.35,0.06,0.2,16704,3.1848659003831417,0.0,3819,2382,0.0,0.0,26.047653256704983,0.0,0.06094168784586459,0.2776144783474985
weather_case,houston ssp585 cmip direct 2075,0.35,0.08,0.2,16704,0.4789272030651341,0.0,3758,2382,0.0,0.0,22.97653256704981,0.0,0.06094168784586459,0.2776144783474985
weather_case,houston ssp585 cmip direct 2075,0.35,0.1,0.2,16704,0.005986590038314176,0.0,3494,2382,0.0,0.0,20.92313218390805,0.0,0.06094168784586459,0.2776144783474985
weather_case,phoenix ssp585 cmip direct 2025,0.15,0.04,0.2,16704,0.9458812260536399,0.0,6234,1796,0.0,0.0,38.230363984674334,0.035919540229885055,0.05908387677705782,0.2458031052050233
weather_case,phoenix ssp585 cmip direct 2025,0.15,0.06,0.2,16704,0.07782567049808428,0.0,4624,1796,0.0,0.0,27.759818007662833,0.0,0.05908387677705782,0.2458031052050233
