weather,city,scenario_raw,time_slice,severity,weather_year,month,day,current_time,outdoor_temp_c,mean_operative_temp_c,expected_tsv,p_tail,d_tail,warm_discomfort_probability,cold_discomfort_probability,pair_id,member,pair_tail_gap
phoenix_ssp585_mid_2050s_heatwave_extreme_2057,Phoenix,ssp585,mid_2050s,heatwave_extreme,2057,7,18,11.25,42.392500000000005,28.605093495014273,1.1110944919415724,0.4284114607901998,0.3999721070082538,0.4141917838992268,0.014219676890973,22,high_tail,0.15350095815572112
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,7,24,8.25,28.1775,29.441156530917283,0.9926724501138948,0.2507353355955489,0.2396571007731684,0.2451962181843586,0.0055391174111902,23,low_tail,0.1523777301352191
phoenix_ssp585_late_2080s_heatwave_extreme_2085,Phoenix,ssp585,late_2080s,heatwave_extreme,2085,7,4,17.75,45.6125,28.244369539016382,0.9955462665331336,0.403113065730768,0.3578779877160746,0.3804955267234213,0.0226175390073467,23,high_tail,0.1523777301352191
ahmedabad_ssp585_near_2030s_typical_2031,Ahmedabad,ssp585,near_2030s,typical,2031,9,17,8.75,28.8425,29.62217295339652,1.0136083684983952,0.2568540576578808,0.2473546057031859,0.2521043316805333,0.0047497259773474,24,low_tail,0.14936858624814364
phoenix_ssp585_late_2080s_heatwave_extreme_2085,Phoenix,ssp585,late_2080s,heatwave_extreme,2085,7,4,17.0,45.68,28.299549257765506,1.02318839842475,0.4062226439060244,0.36332247111648514,0.3847725575112547,0.0214500863947696,24,high_tail,0.14936858624814364
kolkata_ssp245_late_2080s_typical_2084,Kolkata,ssp245,late_2080s,typical,2084,6,13,15.5,39.24,31.79712270184747,1.5874019526832417,0.4402394442227235,0.4371898889495342,0.4387146665861288,0.0015247776365946,25,low_tail,0.14589195838521857
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,7,16,16.5,49.085,30.945072598790446,1.5878213630702318,0.586131402607942,0.5783680462025353,0.5822497244052387,0.0038816782027033,25,high_tail,0.14589195838521857
kolkata_ssp245_late_2080s_heatwave_extreme_2086,Kolkata,ssp245,late_2080s,heatwave_extreme,2086,6,11,12.5,38.145,29.951906366507647,1.1041870156915878,0.2822918173023102,0.2731005716476732,0.2776961944749916,0.0045956228273184,26,low_tail,0.1435885195537842
phoenix_ssp585_mid_2050s_heatwave_extreme_2057,Phoenix,ssp585,mid_2050s,heatwave_extreme,2057,7,18,11.75,42.9175,28.64875884283184,1.1016633427522209,0.4258803368560944,0.4011464134901761,0.4135133751731352,0.0123669616829591,26,high_tail,0.1435885195537842
guangzhou_ssp245_late_2080s_hot_2083,Guangzhou,ssp245,late_2080s,hot,2083,5,14,10.0,29.23,30.01604804376715,1.078352409107022,0.279608472974712,0.2707277241427784,0.2751680985587452,0.0044403744159668,27,low_tail,0.1432373138156453
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,6,15,19.0,49.12,28.434856572275464,1.0882936936507717,0.4228457867903573,0.391115118745144,0.4069804527677506,0.0158653340226066,27,high_tail,0.1432373138156453
beijing_ssp585_mid_2050s_heatwave_extreme_2052,Beijing,ssp585,mid_2050s,heatwave_extreme,2052,6,22,14.75,43.55,31.899982853742763,1.5128941015551047,0.4258885104227787,0.4218126875075677,0.4238505989651732,0.0020379114576055,28,low_tail,0.14253086819070454
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,7,16,18.25,48.8925,30.421327908663432,1.5225969168874685,0.5684193786134832,0.5567876693488759,0.5626035239811795,0.0058158546323036,28,high_tail,0.14253086819070454
guangzhou_ssp245_late_2080s_hot_2083,Guangzhou,ssp245,late_2080s,hot,2083,5,14,9.75,29.0125,29.988596715451312,1.067913286828496,0.2721350586833755,0.2626388711451598,0.2673869649142676,0.0047480937691078,29,low_tail,0.14247514484744017
phoenix_ssp585_late_2080s_heatwave_extreme_2085,Phoenix,ssp585,late_2080s,heatwave_extreme,2085,7,4,19.0,45.0,27.877942388431517,1.069205602269286,0.4146102035308157,0.3736993403403919,0.3941547719356038,0.0204554315952119,29,high_tail,0.14247514484744017
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,Ahmedabad,ssp585,late_2080s,heatwave_extreme,2088,8,20,9.0,28.28,29.36167853690516,0.9667257382118932,0.2361473911009431,0.2261398885977846,0.2311436398493638,0.0050037512515792,30,low_tail,0.1424158866120164
phoenix_ssp245_late_2080s_heatwave_extreme_2086,Phoenix,ssp245,late_2080s,heatwave_extreme,2086,6,28,19.0,46.61,27.93488219191772,0.9659829172838292,0.3785632777129595,0.33749757721872187,0.3580304274658407,0.0205328502471188,30,high_tail,0.1424158866120164
ahmedabad_ssp585_near_2030s_typical_2031,Ahmedabad,ssp585,near_2030s,typical,2031,7,30,18.5,37.14,29.42189018922267,1.033458631474465,0.2711383345719078,0.2595458532265559,0.2653420938992318,0.0057962406726759,31,low_tail,0.1408419229818687
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,6,15,19.25,48.89,28.23011786496449,1.0430521871247518,0.4119802575537765,0.3783691144965075,0.395174686025142,0.0168055715286345,31,high_tail,0.1408419229818687
houston_ssp585_near_2030s_hot_2035,Houston,ssp585,near_2030s,hot,2035,1,3,12.75,23.450000000000003,24.487206185454088,0.150630896861124,0.0459531618916529,0.002948908156990098,0.0244510350243215,0.0215021268673314,32,low_tail,0.13783389790765488
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,10,2,13.75,33.42,26.359577554234654,0.1684676011350033,0.1837870597993078,0.05999053061508099,0.1218887952071944,0.0618982645921134,32,high_tail,0.13783389790765488
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,Ahmedabad,ssp245,mid_2050s,heatwave_extreme,2059,8,1,11.25,29.057499999999997,29.104003484755,0.9722890144587376,0.2493293862551903,0.2387592019812736,0.2440442941182319,0.0052850921369583,33,low_tail,0.13782021384020682
phoenix_ssp585_late_2080s_heatwave_extreme_2085,Phoenix,ssp585,late_2080s,heatwave_extreme,2085,7,4,15.5,45.32,28.1588715318806,0.9829801030056952,0.3871496000953971,0.34472573005145246,0.3659376650734248,0.0212119350219723,33,high_tail,0.13782021384020682
kolkata_ssp585_mid_2050s_heatwave_extreme_2059,Kolkata,ssp585,mid_2050s,heatwave_extreme,2059,12,18,6.0,22.28,25.35205873740881,0.4396039381331554,0.1015181300739524,0.05914378337885529,0.0803309567264038,0.0211871733475485,34,low_tail,0.1377766805874771
phoenix_ssp585_late_2080s_typical_2081,Phoenix,ssp585,late_2080s,typical,2081,6,8,10.25,37.629999999999995,26.94661376934466,0.4405494419596035,0.2392948106614295,0.1681322346520814,0.2037135226567554,0.035581288004674,34,high_tail,0.1377766805874771
guangzhou_ssp585_baseline_2020s_hot_2028,Guangzhou,ssp585,baseline_2020s,hot,2028,10,15,6.0,18.44,25.64920805035137,0.5018641268374672,0.1170462628003905,0.0717472949865119,0.0943967788934512,0.0226494839069393,35,low_tail,0.1370237298540844
phoenix_ssp585_late_2080s_hot_2089,Phoenix,ssp585,late_2080s,hot,2089,6,22,9.5,37.935,27.11733598961719,0.5059272118124085,0.2540699926544749,0.1843166809426174,0.2191933367985461,0.0348766558559287,35,high_tail,0.1370237298540844
beijing_ssp585_near_2030s_typical_2032,Beijing,ssp585,near_2030s,typical,2032,9,17,6.0,18.55,25.63916279401487,0.482973558763703,0.117380346991354,0.0752493515744686,0.0963148492829113,0.0210654977084427,36,low_tail,0.13634791239921648
phoenix_ssp585_late_2080s_typical_2081,Phoenix,ssp585,late_2080s,typical,2081,6,7,20.75,44.747499999999995,26.809226311976733,0.4895391424039229,0.2537282593905705,0.1897361581875002,0.2217322087890353,0.0319960506015351,36,high_tail,0.13634791239921648
beijing_ssp585_mid_2050s_typical_2053,Beijing,ssp585,mid_2050s,typical,2053,9,17,6.0,20.52,25.778799043401744,0.5762329692725549,0.1469530416750815,0.1098476322262442,0.1284003369506628,0.0185527047244186,37,low_tail,0.1357336162322736
phoenix_ssp585_late_2080s_typical_2081,Phoenix,ssp585,late_2080s,typical,2081,6,6,6.75,35.11750000000001,27.00854456709328,0.5785180034305892,0.2826866579073551,0.23140978736921308,0.2570482226382841,0.025638435269071,37,high_tail,0.1357336162322736
houston_ssp245_late_2080s_hot_2085,Houston,ssp245,late_2080s,hot,2085,10,8,6.75,21.0225,25.729297675231532,0.382544159301093,0.084465855112918,0.0367513558882802,0.0606086055005991,0.0238572496123189,38,low_tail,0.1340226139832854
phoenix_ssp585_late_2080s_typical_2081,Phoenix,ssp585,late_2080s,typical,2081,6,8,9.5,36.095,26.84855399290313,0.3810433380201392,0.2184884690962034,0.138209583753666,0.1783490264249347,0.0401394426712687,38,high_tail,0.1340226139832854
