scope,rows,weather_cases,mean_mu,mean_abs_mu,mean_p_tail,p95_p_tail,high_tail_pct,near_mean_pct,near_mean_high_tail_pct,near_mean_directional_tail_pct,warm_tail_dominant_pct,cold_tail_dominant_pct,sign_conflict_pct_of_comparable,sign_comparable_rows,city,scenario_raw,time_slice,severity
city_scenario_time_slice,50112,3,0.22124081243168717,0.24219634420419847,0.10006150559639045,0.25640107200182416,10.380747126436782,50.01596424010217,0.0,0.0,18.586366538952745,0.0,0.0,9314,Houston,ssp585,baseline_2020s,
city_scenario_time_slice,50112,3,0.3386104392501702,0.3493282939642935,0.13305449356244023,0.3384271660082753,23.732838441890166,40.98619093231162,0.0,0.0,29.821200510855682,0.0,0.0,14944,Houston,ssp585,late_2080s,
city_scenario_time_slice,50112,3,0.25479220348183396,0.2734786799262399,0.10942820801987416,0.29105192170084365,14.387771392081735,46.47389846743295,0.0,0.0,22.04861111111111,0.0,0.0,11049,Houston,ssp585,mid_2050s,
city_scenario_time_slice,50112,3,0.21922182459913475,0.23760605340438287,0.09817834779952636,0.24373330678227825,9.265245849297573,47.28807471264368,0.0,0.0,16.90213920817369,0.0,0.0,8470,Houston,ssp585,near_2030s,
city_scenario_time_slice,50112,3,0.2914994820294153,0.2945499155734259,0.11563851257680419,0.2971934763998012,13.831018518518517,39.31393678160919,0.0,0.0,22.49361430395913,0.0,0.0,11272,Kolkata,ssp245,baseline_2020s,
city_scenario_time_slice,50112,3,0.3811773546294321,0.3831389992715112,0.14087021459404567,0.339317149827918,24.18183269476373,33.37923052362707,0.0,0.0,32.63888888888889,0.0,0.0,16356,Kolkata,ssp245,late_2080s,
city_scenario_time_slice,50112,3,0.33226461920767925,0.3339280981657872,0.1264822000433697,0.3202512119962554,19.490341634738186,35.991379310344826,0.0,0.0,26.688218390804597,0.0,0.0,13374,Kolkata,ssp245,mid_2050s,
city_scenario_time_slice,50112,3,0.2915272699701369,0.2945661810022353,0.11556135887315253,0.29916597901456066,15.441411238825031,39.93654214559387,0.0,0.0,23.14814814814815,0.0,0.0,11600,Kolkata,ssp245,near_2030s,
city_scenario_time_slice,50112,3,0.23315159979186403,0.23718194613807578,0.09947527122540997,0.2511304458940558,8.618694125159642,45.74553001277139,0.0,0.0,15.615022349936142,0.0,0.0,7825,Kolkata,ssp585,baseline_2020s,
city_scenario_time_slice,50112,3,0.5037125964305676,0.5045822742976346,0.17485191661331162,0.3646077109278252,36.58804278416347,22.743055555555554,0.0,0.0,47.97852809706258,0.0,0.0,24043,Kolkata,ssp585,late_2080s,
city_scenario_time_slice,50112,3,0.43947663110682167,0.4411583783390801,0.15890443242276134,0.3533103141206196,31.940453384418905,28.458253512132824,0.0,0.0,40.71679438058749,0.0,0.0,20404,Kolkata,ssp585,mid_2050s,
city_scenario_time_slice,50112,3,0.22680084008205176,0.23219800015125952,0.09910684895860758,0.2578752347091375,9.135536398467432,49.12595785440613,0.0,0.0,15.623004469987228,0.0,0.0,7829,Kolkata,ssp585,near_2030s,
city_scenario_time_slice,50112,3,0.24403866128783624,0.25104727153718465,0.1097456247772768,0.21236882315110017,5.844907407407407,28.448275862068968,0.0,0.0,14.000638569604087,0.0,0.0,7016,Phoenix,ssp245,baseline_2020s,
city_scenario_time_slice,50112,3,0.31519792484880976,0.32291342294464204,0.13564648963670342,0.3439952435114194,15.363585568326949,25.750319284802043,0.0,0.0,23.718869731800766,0.0,0.0,11886,Phoenix,ssp245,late_2080s,
city_scenario_time_slice,50112,3,0.29903335036974593,0.3063884957886265,0.1281088710095912,0.31255608174646854,13.034802043422733,23.78073116219668,0.0,0.0,21.1985153256705,0.0,0.0,10623,Phoenix,ssp245,mid_2050s,
city_scenario_time_slice,50112,3,0.28225975886859067,0.2917514844949776,0.12393525314708674,0.28265378103223426,11.099137931034484,26.7161558109834,0.0,0.0,21.032886334610474,0.0,0.0,10540,Phoenix,ssp245,near_2030s,
city_scenario_time_slice,50112,3,0.26908631325618165,0.27734695123211045,0.12030595596410183,0.2757207372648702,10.229086845466155,28.653815453384418,0.0,0.0,18.845785440613028,0.0,0.0,9444,Phoenix,ssp585,baseline_2020s,
city_scenario_time_slice,50112,3,0.4123843023525413,0.418281160924283,0.16869958750586964,0.45034091827687195,26.36494252873563,21.54573754789272,0.0,0.0,31.860632183908045,0.0,0.0,15966,Phoenix,ssp585,late_2080s,
city_scenario_time_slice,50112,3,0.2983020542189789,0.3078443335012755,0.13100996949464436,0.33659409842621146,14.27801724137931,26.378911238825033,0.0,0.0,21.475893997445723,0.0,0.0,10762,Phoenix,ssp585,mid_2050s,
city_scenario_time_slice,50112,3,0.27699429588811836,0.2864026361143151,0.12389598554600446,0.2878050266317314,10.63817049808429,27.98331736909323,0.0,0.0,19.659961685823752,0.0,0.0,9852,Phoenix,ssp585,near_2030s,
