case_id,condition,left,right,spearman_rho,n_hours
ahmedabad_ssp245_late_2080s_typical_2086,all_occupied_hours,mean_operative_temp_c,discomfort_probability,0.9326129823387491,4437
ahmedabad_ssp245_late_2080s_typical_2086,all_occupied_hours,mean_operative_temp_c,warm_discomfort_probability,0.9392746218634074,4437
ahmedabad_ssp245_late_2080s_typical_2086,all_occupied_hours,mean_operative_temp_c,cold_discomfort_probability,-0.8875018239201545,4437
ahmedabad_ssp245_late_2080s_typical_2086,all_occupied_hours,zone_cooling_rate_w,discomfort_probability,0.5468376622325118,4437
ahmedabad_ssp245_late_2080s_typical_2086,outdoor_temp_ge_20_c,outdoor_temp_c,mean_operative_temp_c,0.5660059474896181,4020
ahmedabad_ssp245_late_2080s_typical_2086,outdoor_temp_ge_20_c,mean_operative_temp_c,discomfort_probability,0.9416764526420895,4020
ahmedabad_ssp245_late_2080s_typical_2086,outdoor_temp_ge_20_c,mean_operative_temp_c,warm_discomfort_probability,0.9492489587231899,4020
ahmedabad_ssp245_late_2080s_typical_2086,outdoor_temp_ge_20_c,mean_operative_temp_c,cold_discomfort_probability,-0.908733643136557,4020
ahmedabad_ssp245_late_2080s_typical_2086,outdoor_temp_ge_20_c,zone_cooling_rate_w,discomfort_probability,0.49301734016310594,4020
ahmedabad_ssp245_late_2080s_typical_2086,outdoor_temp_ge_25_c,outdoor_temp_c,mean_operative_temp_c,0.5244644324300448,3361
ahmedabad_ssp245_late_2080s_typical_2086,outdoor_temp_ge_25_c,mean_operative_temp_c,discomfort_probability,0.9481177166917139,3361
ahmedabad_ssp245_late_2080s_typical_2086,outdoor_temp_ge_25_c,mean_operative_temp_c,warm_discomfort_probability,0.9564261527130492,3361
ahmedabad_ssp245_late_2080s_typical_2086,outdoor_temp_ge_25_c,mean_operative_temp_c,cold_discomfort_probability,-0.9316378147410366,3361
ahmedabad_ssp245_late_2080s_typical_2086,outdoor_temp_ge_25_c,zone_cooling_rate_w,discomfort_probability,0.4296644657541969,3361
ahmedabad_ssp245_late_2080s_typical_2086,may_through_september,outdoor_temp_c,mean_operative_temp_c,0.6713011424927966,1853
ahmedabad_ssp245_late_2080s_typical_2086,may_through_september,mean_operative_temp_c,discomfort_probability,0.9926501472336096,1853
ahmedabad_ssp245_late_2080s_typical_2086,may_through_september,mean_operative_temp_c,warm_discomfort_probability,0.9942911796624005,1853
ahmedabad_ssp245_late_2080s_typical_2086,may_through_september,mean_operative_temp_c,cold_discomfort_probability,-0.948454489873382,1853
ahmedabad_ssp245_late_2080s_typical_2086,may_through_september,zone_cooling_rate_w,discomfort_probability,0.414952296834854,1853
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,all_occupied_hours,outdoor_temp_c,mean_operative_temp_c,0.6072367558630131,4437
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,all_occupied_hours,mean_operative_temp_c,discomfort_probability,0.9297611422179909,4437
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,all_occupied_hours,mean_operative_temp_c,warm_discomfort_probability,0.9401358661378385,4437
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,all_occupied_hours,mean_operative_temp_c,cold_discomfort_probability,-0.9193342157674248,4437
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,all_occupied_hours,zone_cooling_rate_w,discomfort_probability,0.4233495723817641,4437
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,outdoor_temp_ge_20_c,outdoor_temp_c,mean_operative_temp_c,0.5288867033741956,4069
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,outdoor_temp_ge_20_c,mean_operative_temp_c,discomfort_probability,0.9493204213070531,4069
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,outdoor_temp_ge_20_c,mean_operative_temp_c,warm_discomfort_probability,0.9586659847817524,4069
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,outdoor_temp_ge_20_c,mean_operative_temp_c,cold_discomfort_probability,-0.9348463037366204,4069
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,outdoor_temp_ge_20_c,zone_cooling_rate_w,discomfort_probability,0.3613362497701638,4069
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,outdoor_temp_ge_25_c,outdoor_temp_c,mean_operative_temp_c,0.43200601881749195,3463
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,outdoor_temp_ge_25_c,mean_operative_temp_c,discomfort_probability,0.960233771988271,3463
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,outdoor_temp_ge_25_c,mean_operative_temp_c,warm_discomfort_probability,0.9685718792229209,3463
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,outdoor_temp_ge_25_c,mean_operative_temp_c,cold_discomfort_probability,-0.9502244596733112,3463
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,outdoor_temp_ge_25_c,zone_cooling_rate_w,discomfort_probability,0.2775292927969478,3463
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,may_through_september,outdoor_temp_c,mean_operative_temp_c,0.5359521155942892,1853
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,may_through_september,mean_operative_temp_c,discomfort_probability,0.9853737706044845,1853
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,may_through_september,mean_operative_temp_c,warm_discomfort_probability,0.9877986323781933,1853
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,may_through_september,mean_operative_temp_c,cold_discomfort_probability,-0.97130840685215,1853
ahmedabad_ssp245_mid_2050s_heatwave_extreme_2059,may_through_september,zone_cooling_rate_w,discomfort_probability,0.20171378498628256,1853
ahmedabad_ssp245_mid_2050s_hot_2059,all_occupied_hours,outdoor_temp_c,mean_operative_temp_c,0.6072367558630131,4437
ahmedabad_ssp245_mid_2050s_hot_2059,all_occupied_hours,mean_operative_temp_c,discomfort_probability,0.9297611422179909,4437
ahmedabad_ssp245_mid_2050s_hot_2059,all_occupied_hours,mean_operative_temp_c,warm_discomfort_probability,0.9401358661378385,4437
ahmedabad_ssp245_mid_2050s_hot_2059,all_occupied_hours,mean_operative_temp_c,cold_discomfort_probability,-0.9193342157674248,4437
ahmedabad_ssp245_mid_2050s_hot_2059,all_occupied_hours,zone_cooling_rate_w,discomfort_probability,0.4233495723817641,4437
ahmedabad_ssp245_mid_2050s_hot_2059,outdoor_temp_ge_20_c,outdoor_temp_c,mean_operative_temp_c,0.5288867033741956,4069
ahmedabad_ssp245_mid_2050s_hot_2059,outdoor_temp_ge_20_c,mean_operative_temp_c,discomfort_probability,0.9493204213070531,4069
ahmedabad_ssp245_mid_2050s_hot_2059,outdoor_temp_ge_20_c,mean_operative_temp_c,warm_discomfort_probability,0.9586659847817524,4069
ahmedabad_ssp245_mid_2050s_hot_2059,outdoor_temp_ge_20_c,mean_operative_temp_c,cold_discomfort_probability,-0.9348463037366204,4069
ahmedabad_ssp245_mid_2050s_hot_2059,outdoor_temp_ge_20_c,zone_cooling_rate_w,discomfort_probability,0.3613362497701638,4069
ahmedabad_ssp245_mid_2050s_hot_2059,outdoor_temp_ge_25_c,outdoor_temp_c,mean_operative_temp_c,0.43200601881749195,3463
ahmedabad_ssp245_mid_2050s_hot_2059,outdoor_temp_ge_25_c,mean_operative_temp_c,discomfort_probability,0.960233771988271,3463
ahmedabad_ssp245_mid_2050s_hot_2059,outdoor_temp_ge_25_c,mean_operative_temp_c,warm_discomfort_probability,0.9685718792229209,3463
ahmedabad_ssp245_mid_2050s_hot_2059,outdoor_temp_ge_25_c,mean_operative_temp_c,cold_discomfort_probability,-0.9502244596733112,3463
ahmedabad_ssp245_mid_2050s_hot_2059,outdoor_temp_ge_25_c,zone_cooling_rate_w,discomfort_probability,0.2775292927969478,3463
ahmedabad_ssp245_mid_2050s_hot_2059,may_through_september,outdoor_temp_c,mean_operative_temp_c,0.5359521155942892,1853
ahmedabad_ssp245_mid_2050s_hot_2059,may_through_september,mean_operative_temp_c,discomfort_probability,0.9853737706044845,1853
ahmedabad_ssp245_mid_2050s_hot_2059,may_through_september,mean_operative_temp_c,warm_discomfort_probability,0.9877986323781933,1853
ahmedabad_ssp245_mid_2050s_hot_2059,may_through_september,mean_operative_temp_c,cold_discomfort_probability,-0.97130840685215,1853
ahmedabad_ssp245_mid_2050s_hot_2059,may_through_september,zone_cooling_rate_w,discomfort_probability,0.20171378498628256,1853
ahmedabad_ssp245_mid_2050s_typical_2058,all_occupied_hours,outdoor_temp_c,mean_operative_temp_c,0.5553100593641969,4437
ahmedabad_ssp245_mid_2050s_typical_2058,all_occupied_hours,mean_operative_temp_c,discomfort_probability,0.8725650138750978,4437
ahmedabad_ssp245_mid_2050s_typical_2058,all_occupied_hours,mean_operative_temp_c,warm_discomfort_probability,0.8949269713504681,4437
ahmedabad_ssp245_mid_2050s_typical_2058,all_occupied_hours,mean_operative_temp_c,cold_discomfort_probability,-0.9114876783511547,4437
ahmedabad_ssp245_mid_2050s_typical_2058,all_occupied_hours,zone_cooling_rate_w,discomfort_probability,0.5207879941070085,4437
ahmedabad_ssp245_mid_2050s_typical_2058,outdoor_temp_ge_20_c,outdoor_temp_c,mean_operative_temp_c,0.4489047655098905,3965
ahmedabad_ssp245_mid_2050s_typical_2058,outdoor_temp_ge_20_c,mean_operative_temp_c,discomfort_probability,0.900940722244187,3965
ahmedabad_ssp245_mid_2050s_typical_2058,outdoor_temp_ge_20_c,mean_operative_temp_c,warm_discomfort_probability,0.9199904861464615,3965
ahmedabad_ssp245_mid_2050s_typical_2058,outdoor_temp_ge_20_c,mean_operative_temp_c,cold_discomfort_probability,-0.9260138720245767,3965
ahmedabad_ssp245_mid_2050s_typical_2058,outdoor_temp_ge_20_c,zone_cooling_rate_w,discomfort_probability,0.48108422178590676,3965
ahmedabad_ssp245_mid_2050s_typical_2058,outdoor_temp_ge_25_c,outdoor_temp_c,mean_operative_temp_c,0.33371784569340385,3315
ahmedabad_ssp245_mid_2050s_typical_2058,outdoor_temp_ge_25_c,mean_operative_temp_c,discomfort_probability,0.9191497257009411,3315
ahmedabad_ssp245_mid_2050s_typical_2058,outdoor_temp_ge_25_c,mean_operative_temp_c,warm_discomfort_probability,0.9377982513048488,3315
ahmedabad_ssp245_mid_2050s_typical_2058,outdoor_temp_ge_25_c,mean_operative_temp_c,cold_discomfort_probability,-0.9423409095057155,3315
ahmedabad_ssp245_mid_2050s_typical_2058,outdoor_temp_ge_25_c,zone_cooling_rate_w,discomfort_probability,0.43538891561005655,3315
ahmedabad_ssp245_mid_2050s_typical_2058,may_through_september,outdoor_temp_c,mean_operative_temp_c,0.4100450605098326,1853
ahmedabad_ssp245_mid_2050s_typical_2058,may_through_september,mean_operative_temp_c,discomfort_probability,0.9832540108133231,1853
ahmedabad_ssp245_mid_2050s_typical_2058,may_through_september,mean_operative_temp_c,warm_discomfort_probability,0.9908663571486558,1853
ahmedabad_ssp245_mid_2050s_typical_2058,may_through_september,mean_operative_temp_c,cold_discomfort_probability,-0.9565173670798807,1853
