weather,analysis_state_sha256,floor,area_weighted_high_tail_pct,unweighted_zone_time_high_tail_pct,any_zone_within_floor_high_tail_pct,mean_p_tail_area_weighted,mean_warm_tail_area_weighted,mean_cold_tail_area_weighted,mean_expected_tsv_area_weighted
ahmedabad_ssp245_near_2030s_typical_2032,cfb16e95b84f46ca8126be0b92e7563c97a93a373a228d3388dc116b98f75b9f,middle,11.354225936694553,13.411159003831418,33.92600574712644,0.10588485873172618,0.07796373209415462,0.027921126637571552,0.25683214048352143
ahmedabad_ssp245_near_2030s_typical_2032,cfb16e95b84f46ca8126be0b92e7563c97a93a373a228d3388dc116b98f75b9f,top,8.863467144105233,10.84051724137931,27.173132183908045,0.09755423780947546,0.06852176325404709,0.029032474555428383,0.22199963777427545
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,83eb83d36bde149a73f0e4b476be97c2571af1f88ae362f827add814d1fa0573,bottom,20.86009467735568,25.433429118773947,55.88481800766284,0.13494733528534725,0.10810959134160576,0.026837743943741495,0.35231386406292925
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,83eb83d36bde149a73f0e4b476be97c2571af1f88ae362f827add814d1fa0573,middle,26.506333159288094,28.295019157088124,51.67025862068966,0.14574207420270663,0.12033225917879456,0.025409815023912086,0.3901760514313943
ahmedabad_ssp585_baseline_2020s_heatwave_extreme_2027,83eb83d36bde149a73f0e4b476be97c2571af1f88ae362f827add814d1fa0573,top,21.896934560502213,24.20258620689655,44.588122605363985,0.13361269439248905,0.10703108134087944,0.026581613051609596,0.3449191099667156
ahmedabad_ssp585_baseline_2020s_hot_2027,83eb83d36bde149a73f0e4b476be97c2571af1f88ae362f827add814d1fa0573,bottom,20.86009467735568,25.433429118773947,55.88481800766284,0.13494733528534725,0.10810959134160576,0.026837743943741495,0.35231386406292925
ahmedabad_ssp585_baseline_2020s_hot_2027,83eb83d36bde149a73f0e4b476be97c2571af1f88ae362f827add814d1fa0573,middle,26.506333159288094,28.295019157088124,51.67025862068966,0.14574207420270663,0.12033225917879456,0.025409815023912086,0.3901760514313943
ahmedabad_ssp585_baseline_2020s_hot_2027,83eb83d36bde149a73f0e4b476be97c2571af1f88ae362f827add814d1fa0573,top,21.896934560502213,24.20258620689655,44.588122605363985,0.13361269439248905,0.10703108134087944,0.026581613051609596,0.3449191099667156
ahmedabad_ssp585_baseline_2020s_typical_2025,f513690e57359d0b270e71b27386db42c7255f624bce2eeea381419bfe19e4db,bottom,12.919699459416972,16.391283524904214,43.600335249042146,0.11131237174064086,0.08216402754983863,0.029148344190802207,0.26707095377553225
ahmedabad_ssp585_baseline_2020s_typical_2025,f513690e57359d0b270e71b27386db42c7255f624bce2eeea381419bfe19e4db,middle,15.999139545693946,17.641283524904214,38.008860153256705,0.11684119662055178,0.08883087281712466,0.02801032380342713,0.28385381389285413
ahmedabad_ssp585_baseline_2020s_typical_2025,f513690e57359d0b270e71b27386db42c7255f624bce2eeea381419bfe19e4db,top,14.198071699497056,15.858477011494255,33.56681034482759,0.10998524051410204,0.0809538876229098,0.029031352891192252,0.2560091721363622
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,3fd68b62d6bfcf8503b28b2b0fd3b2395cfac091b12d6381de4bd04f1e914a26,bottom,28.61031684515416,31.995929118773947,62.07495210727969,0.15524685543994832,0.1287867431035734,0.026460112336374898,0.39325405563323834
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,3fd68b62d6bfcf8503b28b2b0fd3b2395cfac091b12d6381de4bd04f1e914a26,middle,31.93800224445451,33.542863984674334,55.36997126436781,0.16380176848397793,0.13889531469002278,0.024906453793955136,0.42465636620848185
ahmedabad_ssp585_late_2080s_heatwave_extreme_2088,3fd68b62d6bfcf8503b28b2b0fd3b2395cfac091b12d6381de4bd04f1e914a26,top,29.866417368321134,31.176963601532563,50.73635057471264,0.15489769046241686,0.12881976241195717,0.0260779280504597,0.3884976142956624
ahmedabad_ssp585_late_2080s_hot_2088,3fd68b62d6bfcf8503b28b2b0fd3b2395cfac091b12d6381de4bd04f1e914a26,bottom,28.61031684515416,31.995929118773947,62.07495210727969,0.15524685543994832,0.1287867431035734,0.026460112336374898,0.39325405563323834
ahmedabad_ssp585_late_2080s_hot_2088,3fd68b62d6bfcf8503b28b2b0fd3b2395cfac091b12d6381de4bd04f1e914a26,middle,31.93800224445451,33.542863984674334,55.36997126436781,0.16380176848397793,0.13889531469002278,0.024906453793955136,0.42465636620848185
ahmedabad_ssp585_late_2080s_hot_2088,3fd68b62d6bfcf8503b28b2b0fd3b2395cfac091b12d6381de4bd04f1e914a26,top,29.866417368321134,31.176963601532563,50.73635057471264,0.15489769046241686,0.12881976241195717,0.0260779280504597,0.3884976142956624
ahmedabad_ssp585_late_2080s_typical_2087,f0343596362a2e7923658e0e721f851162aae15f56f059752eb96bf73f6ffa54,bottom,15.67978339275534,19.89822796934866,51.56848659003831,0.12115346474279895,0.09355418525156516,0.027599279491233815,0.2938455075480919
ahmedabad_ssp585_late_2080s_typical_2087,f0343596362a2e7923658e0e721f851162aae15f56f059752eb96bf73f6ffa54,middle,20.230702927621287,21.877394636015328,44.52227011494253,0.13104518496617937,0.10457720010431656,0.026467984861862796,0.32474635488437126
ahmedabad_ssp585_late_2080s_typical_2087,f0343596362a2e7923658e0e721f851162aae15f56f059752eb96bf73f6ffa54,top,18.017094851631626,19.828783524904214,40.002394636015325,0.12239237718965977,0.09475175785225447,0.02764061933740531,0.2907834208964151
ahmedabad_ssp585_mid_2050s_heatwave_extreme_2051,dbbe5f0ba62c446cf425567226cf5cd7ee19febc10f2152e48063a50b82495a7,bottom,14.985010010830996,19.651580459770116,53.0411877394636,0.11964232746382956,0.09202019224070176,0.027622135223127803,0.29835275414988244
